,Image,Collection,Production,Date,Occasion,Multiple bill,Performances_ID,Normalised title,Original language,Composer,Original premiere,Original title,genre,Season,Directors,Title_Language,Leaflet_Language,Opmerking
0,K.V.O. programmas 1893-97_00005-20211201_113354.jpg,1893-1897,De Vrijschutter,1893-10-03,Eerste vertoning,False,903641,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,NL,,
1,K.V.O. programmas 1893-97_00009-20211201_113438.jpg,1893-1897,Willem Tell,1893-10-05,Eerste vertoning,False,316913,Willem Tell,DUI,Carl Reinecke,1971,Musik zu Schiller’s 'Wilhelm Tell,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,Unk,,
2,K.V.O. programmas 1893-97_00011-20211201_113452.jpg,1893-1897,De Vrijschutter,1893-10-10,,False,135474,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,NL,,
3,K.V.O. programmas 1893-97_00013-20211201_113512.jpg,1893-1897,Willem Tell,1893-10-12,,False,520507,Willem Tell,DUI,Carl Reinecke,1971,Musik zu Schiller’s 'Wilhelm Tell,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,Unk,,
4,K.V.O. programmas 1893-97_00015-20211201_113528.jpg,1893-1897,Charlotte Corday,1893-11-16,,False,446314,Charlotte Corday,NL,Peter Benoit,?,Charlotte Corday,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine,Unk,,
5,K.V.O. programmas 1893-97_00017-20211201_113547.jpg,1893-1897,De Vrijschutter,1893-10-17,,False,156695,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,NL,,
6,K.V.O. programmas 1893-97_00019-20211201_113606.jpg,1893-1897,Charlotte Corday,1893-10-19,,False,117629,Charlotte Corday,NL,Peter Benoit,?,Charlotte Corday,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine,Unk,,
7,K.V.O. programmas 1893-97_00023-20211201_113639.jpg,1893-1897,De Vrijschutter,1893-10-24,,False,883219,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,NL,,
8,K.V.O. programmas 1893-97_00025-20211201_113654.jpg,1893-1897,Charlotte Corday,1893-10-26,,False,802097,Charlotte Corday,NL,Peter Benoit,?,Charlotte Corday,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine,Unk,,
9,K.V.O. programmas 1893-97_00027-20211201_113712.jpg,1893-1897,De Vrijschutter,1893-10-31,,False,131692,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,NL,,
10,K.V.O. programmas 1893-97_00029-20211201_113749.jpg,1893-1897,Parisina,1893-11-02,,False,770103,Parisina,NL,Edward Keurvels,1887,Parisina,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine,Unk,,
11,K.V.O. programmas 1893-97_00033-20211201_113824.jpg,1893-1897,De Vrijschutter,1893-11-07,,False,367621,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,NL,,
12,K.V.O. programmas 1893-97_00035-20211201_113845.jpg,1893-1897,Parisina,1893-11-09,,False,991125,Parisina,NL,Edward Keurvels,1887,Parisina,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine,Unk,,
13,K.V.O. programmas 1893-97_00037-20211201_113904.jpg,1893-1897,Leiden Ontzet,1893-11-14,,False,789711,Leiden Ontzet,NL,Cis Van der Linden,1894,Leiden Ontzet,zangspel,1893-1894,Edward Keurvels & Henry Fontaine,NL,,
14,K.V.O. programmas 1893-97_00039-20211201_113923.jpg,1893-1897,Leiden Ontzet,1893-11-21,,False,633432,Leiden Ontzet,NL,Cis Van der Linden,1894,Leiden Ontzet,zangspel,1893-1894,Edward Keurvels & Henry Fontaine,NL,,
15,K.V.O. programmas 1893-97_00041-20211201_113947.jpg,1893-1897,Preciosa,1893-11-23,,False,441846,Preciosa,DUI,Carl Maria von Weber,1821,Preciosa,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,Unk,,
16,K.V.O. programmas 1893-97_00045-20211201_114017.jpg,1893-1897,Preciosa,1893-11-30,,False,443437,Preciosa,DUI,Carl Maria von Weber,1821,Preciosa,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,Unk,,
17,K.V.O. programmas 1893-97_00047-20211201_114041.jpg,1893-1897,Leiden Ontzet,1893-12-05,,False,705935,Leiden Ontzet,NL,Cis Van der Linden,1894,Leiden Ontzet,zangspel,1893-1894,Edward Keurvels & Henry Fontaine,NL,,
18,K.V.O. programmas 1893-97_00049-20211201_114057.jpg,1893-1897,Leiden Ontzet,1893-12-12,,False,483171,Leiden Ontzet,NL,Cis Van der Linden,1894,Leiden Ontzet,zangspel,1893-1894,Edward Keurvels & Henry Fontaine,NL,,
19,K.V.O. programmas 1893-97_00051-20211201_114113.jpg,1893-1897,Pelops,1893-12-14,,False,640066,Pelops,TSJ,Fibich Zdeněk,1890,Námluvy Pelopovy,romantic opera,1893-1894,Edward Keurvels & Henry Fontaine,Unk,,
20,K.V.O. programmas 1893-97_00053-20211201_114128.jpg,1893-1897,De Vrijschutter,1893-12-19,,False,301548,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,NL,,
21,K.V.O. programmas 1893-97_00055-20211201_114154.jpg,1893-1897,Tantalus,1893-12-21,Eerste vertoning,False,369138,Tantalus,TSJ,Zdeněk Fibich,1890,Smír Tantalův,?,1893-1894,Edward Keurvels & Henry Fontaine,Unk,,
22,K.V.O. programmas 1893-97_00057-20211201_114218.jpg,1893-1897,Liederik,1893-12-26,Eerste vertoning,False,740442,Liederik,NL,Joseph Mertens,1875,Liederik de rentmeester,zangspel,1893-1894,Edward Keurvels & Henry Fontaine,Unk,,
23,K.V.O. programmas 1893-97_00059-20211201_114236.jpg,1893-1897,Tantalus,1893-12-28,,False,798666,Tantalus,TSJ,Zdeněk Fibich,1890,Smír Tantalův,?,1893-1894,Edward Keurvels & Henry Fontaine,Unk,,
24,K.V.O. programmas 1893-97_00061-20211201_114252.jpg,1893-1897,Liederik,1894-01-02,,False,272045,Liederik,NL,Joseph Mertens,1875,Liederik de rentmeester,zangspel,1893-1894,Edward Keurvels & Henry Fontaine,Unk,,
25,K.V.O. programmas 1893-97_00063-20211201_114312.jpg,1893-1897,Tantalus,1894-01-04,,False,755564,Tantalus,TSJ,Zdeněk Fibich,1890,Smír Tantalův,?,1893-1894,Edward Keurvels & Henry Fontaine,Unk,,
26,K.V.O. programmas 1893-97_00065-20211201_114329.jpg,1893-1897,Liederik,1894-01-09,,False,322023,Liederik,NL,Joseph Mertens,1875,Liederik de rentmeester,zangspel,1893-1894,Edward Keurvels & Henry Fontaine,Unk,,
27,K.V.O. programmas 1893-97_00065-20211201_114329.jpg,1893-1897,Concert van nationale werken,1894-01-09,,False,253657,Concert van nationale werken,?,?,?,?,concert,1893-1894,Edward Keurvels & Henry Fontaine,NL,,
28,K.V.O. programmas 1893-97_00069-20211201_114407.jpg,1893-1897,Tantalus,1894-01-11,,False,646242,Tantalus,TSJ,Zdeněk Fibich,1890,Smír Tantalův,?,1893-1894,Edward Keurvels & Henry Fontaine,Unk,,
29,K.V.O. programmas 1893-97_00071-20211201_114425.jpg,1893-1897,De Vrijschutter,1894-01-16,Buitengewone vertoning ter Benifice van M. Lod. Leysen,False,518011,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,NL,,
30,K.V.O. programmas 1893-97_00073-20211201_114447.jpg,1893-1897,Pelops,1894-01-18,,False,251996,Pelops,TSJ,Fibich Zdeněk,1890,Námluvy Pelopovy,romantic opera,1893-1894,Edward Keurvels & Henry Fontaine,Unk,,
31,K.V.O. programmas 1893-97_00075-20211201_114513.jpg,1893-1897,Liederik,1894-01-23,,False,213838,Liederik,NL,Joseph Mertens,1875,Liederik de rentmeester,zangspel,1893-1894,Edward Keurvels & Henry Fontaine,Unk,,
32,K.V.O. programmas 1893-97_00079-20211201_114550.jpg,1893-1897,Tantalus,1894-01-25,,False,664121,Tantalus,TSJ,Zdeněk Fibich,1890,Smír Tantalův,?,1893-1894,Edward Keurvels & Henry Fontaine,Unk,,
33,K.V.O. programmas 1893-97_00081-20211201_114641.jpg,1893-1897,De Vliegende Hollander,1894-02-01,Eerste vertoning,False,856529,De Vliegende Hollander,DUI,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,NL,,
34,K.V.O. programmas 1893-97_00083-20211201_114701.jpg,1893-1897,De Vliegende Hollander,1894-02-06,,False,405178,De Vliegende Hollander,DUI,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,NL,,
35,K.V.O. programmas 1893-97_00083-20211201_114701.jpg,1893-1897,De Vliegende Hollander,1894-02-08,,False,426812,De Vliegende Hollander,DUI,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,NL,,
36,K.V.O. programmas 1893-97_00085-20211201_114719.jpg,1893-1897,De Vrijschutter,1894-02-13,Ter benificie van Mej. Maria Levering,False,255523,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,NL,,
37,K.V.O. programmas 1893-97_00087-20211201_114747.jpg,1893-1897,De Vliegende Hollander,1894-02-15,,False,451376,De Vliegende Hollander,DUI,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,NL,,
38,K.V.O. programmas 1893-97_00091-20211201_114827.jpg,1893-1897,Mellusina,1894-02-23,Eerste vertoning,False,617995,Mellusina,NL,Emiel Wambach,?,Mellusina. Een Lentedroom,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine,Unk,,
39,K.V.O. programmas 1893-97_00093-20211201_114845.jpg,1893-1897,De Vliegende Hollander,1894-02-27,Ter benificie van Albert Baets,False,847587,De Vliegende Hollander,DUI,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,NL,,
40,K.V.O. programmas 1893-97_00095-20211201_114902.jpg,1893-1897,Mellusina,1894-03-01,,False,410091,Mellusina,NL,Emiel Wambach,?,Mellusina. Een Lentedroom,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine,Unk,,
41,K.V.O. programmas 1893-97_00097-20211201_114923.jpg,1893-1897,Mellusina,1894-03-06,,False,958964,Mellusina,NL,Emiel Wambach,?,Mellusina. Een Lentedroom,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine,Unk,,
42,K.V.O. programmas 1893-97_00097-20211201_114923.jpg,1893-1897,Mellusina,1894-03-08,,False,772733,Mellusina,NL,Emiel Wambach,?,Mellusina. Een Lentedroom,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine,Unk,,
43,K.V.O. programmas 1893-97_00099-20211201_114946.jpg,1893-1897,De Vliegende Hollander,1894-03-13,Gala-vertoning,False,134317,De Vliegende Hollander,DUI,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,NL,,
44,K.V.O. programmas 1893-97_00101-20211201_115002.jpg,1893-1897,Mellusina,1894-03-15,,False,882781,Mellusina,NL,Emiel Wambach,?,Mellusina. Een Lentedroom,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine,Unk,,
45,K.V.O. programmas 1893-97_00103-20211201_115027.jpg,1893-1897,De Vliegende Hollander,1894-03-17,,False,530575,De Vliegende Hollander,DUI,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,NL,,
46,K.V.O. programmas 1893-97_00105-20211201_115046.jpg,1893-1897,De Vliegende Hollander,1894-03-20,,False,870488,De Vliegende Hollander,DUI,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,NL,,
47,K.V.O. programmas 1893-97_00107-20211201_115104.jpg,1893-1897,De Vrijschutter,1894-03-27,Ter benifice van Mej. Safir,False,189159,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,NL,,
48,K.V.O. programmas 1893-97_00109-20211201_115132.jpg,1893-1897,Het Meilief,1894-03-29,Eerste vertoning,False,240260,Het Meilief,NL,Peter Benoit,1893,Het Meilief,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine,NL,,
49,K.V.O. programmas 1893-97_00111-20211201_115200.jpg,1893-1897,Het Meilief,1894-04-03,,False,985593,Het Meilief,NL,Peter Benoit,1893,Het Meilief,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine,NL,,
50,K.V.O. programmas 1893-97_00111-20211201_115200.jpg,1893-1897,Het Meilief,1894-04-05,,False,547495,Het Meilief,NL,Peter Benoit,1893,Het Meilief,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine,NL,,
51,K.V.O. programmas 1893-97_00113-20211201_115221.jpg,1893-1897,De Vliegende Hollander,1894-04-14,,False,793885,De Vliegende Hollander,DUI,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,NL,,
52,K.V.O. programmas 1893-97_00115-20211201_115246.jpg,1893-1897,Het Meilief,1894-04-19,,False,769981,Het Meilief,NL,Peter Benoit,1893,Het Meilief,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine,NL,,
53,K.V.O. programmas 1893-97_00117-20211201_115308.jpg,1893-1897,De Vrijschutter,1894-04-21,,False,230352,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,NL,,
54,K.V.O. programmas 1893-97_00119-20211201_115324.jpg,1893-1897,De Vliegende Hollander,1894-04-24,,False,428102,De Vliegende Hollander,DUI,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,NL,,
55,K.V.O. programmas 1893-97_00121-20211201_115347.jpg,1893-1897,Euryanthe,1894-10-06,Openingsvertoning,False,804496,Euryanthe,DUI,Carl Maria von Weber,1823,Euryanthe,romantisch zangspel,1894-1895,Edward Keurvels & Henry Fontaine,Unk,,
56,K.V.O. programmas 1893-97_00121-20211201_115347.jpg,1893-1897,Euryanthe,1894-10-09,,False,381747,Euryanthe,DUI,Carl Maria von Weber,1823,Euryanthe,romantisch zangspel,1894-1895,Edward Keurvels & Henry Fontaine,Unk,,
