,Date,Production,Multiple bill,Performances_ID,Normalised title,Original language,Composer,Original premiere,Original title,genre,Season
47,1941-01-12,Operaconcert,False,316456,Operaconcert,N/A,N/A,N/A,N/A,N/A,1940-1941
48,1941-01-12,Cosi fan Tutte,False,254739,Cosi fan Tutte,ITA,Wolfgang Amadeus Mozart,1794,"Cosi fan tutte, ossia La scuola degli amanti",opera buffa,1940-1941
49,1941-01-12,Het Land van de Glimlach,False,681098,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,1940-1941
50,1941-01-13,Huldebetoon Heer Burgemeester,False,760499,Huldebetoon Heer Burgemeester,N/A,N/A,N/A,N/A,N/A,1940-1941
51,1941-01-15,Figaro’s Hoekzeit,False,763502,Figaro’s Hoekzeit,N/A,N/A,N/A,N/A,N/A,1940-1941
52,1941-01-16,Vina Tcjekaress,False,840352,Vina Tcjekaress,NL,Roels Oscar,1930,Vina Tcjekaress,operette,1940-1941
53,1941-01-19,Het Land van de Glimlach,False,567838,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,1940-1941
54,1941-01-19,Cosi fan Tutte,False,768433,Cosi fan Tutte,ITA,Wolfgang Amadeus Mozart,1794,"Cosi fan tutte, ossia La scuola degli amanti",opera buffa,1940-1941
55,1941-01-21,Variété Duitse Weermacht,False,256103,Variété Duitse Weermacht,N/A,N/A,N/A,N/A,N/A,1940-1941
56,1941-01-23,De Lustige Weduwe,False,135239,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,1940-1941
57,1941-01-23,Variété Duitse Weermacht,False,608853,Variété Duitse Weermacht,N/A,N/A,N/A,N/A,N/A,1940-1941
58,1941-01-26,Operaconcert,False,140048,Operaconcert,N/A,N/A,N/A,N/A,N/A,1940-1941
59,1941-01-26,Vina Tcjekaress,False,327500,Vina Tcjekaress,NL,Roels Oscar,1930,Vina Tcjekaress,operette,1940-1941
60,1941-01-26,La Traviata,False,251032,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,1940-1941
61,1941-01-28,Lohengrin,False,400109,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,1940-1941
62,1941-01-30,La Traviata,False,357328,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,1940-1941
63,1941-02-02,La Traviata,False,544838,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,1940-1941
64,1941-02-02,Vina Tcjekaress,False,363305,Vina Tcjekaress,NL,Roels Oscar,1930,Vina Tcjekaress,operette,1940-1941
65,1941-02-06,Cosi fan Tutte,False,216948,Cosi fan Tutte,ITA,Wolfgang Amadeus Mozart,1794,"Cosi fan tutte, ossia La scuola degli amanti",opera buffa,1940-1941
66,1941-02-09,Operaconcert,False,859889,Operaconcert,N/A,N/A,N/A,N/A,N/A,1940-1941
67,1941-02-09,De Vledermuis,False,691272,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,1940-1941
68,1941-02-09,De Zigeunerbaron,False,106549,De Zigeunerbaron,DUI,Johann Strauss,1885,Der Zigeunerbaron,operetta,1940-1941
69,1941-02-11,Duits ontspanningsfeest,False,752120,Duits ontspanningsfeest,N/A,N/A,N/A,N/A,N/A,1940-1941
70,1941-02-12,Variété Duitse Weermacht,False,590621,Variété Duitse Weermacht,N/A,N/A,N/A,N/A,N/A,1940-1941
71,1941-02-13,De Zigeunerbaron,False,997309,De Zigeunerbaron,DUI,Johann Strauss,1885,Der Zigeunerbaron,operetta,1940-1941
72,1941-02-14,Muziekavond Duitse Weermacht,False,417134,Muziekavond Duitse Weermacht,N/A,N/A,N/A,N/A,N/A,1940-1941
