Image	Collection	Production	Date	Occasion	Leaflet_Language	Opmerking
1935-1936_00263-20230218_142607.jpg	1935-1936	Prins Igor	8/3/1936	gastvoorstelling Georges Youreneff	Dutch	N/A
1935-1936_00264-20230218_142618.jpg	1935-1936	N/A	N/A	N/A	Dutch	N/A
1935-1936_00265-20230218_142624.jpg	1935-1936	Madame Butterfly	8/3/1936	N/A	Dutch	N/A
1935-1936_00266-20230218_142633.jpg	1935-1936	N/A	N/A	N/A	Dutch	N/A
1935-1936_00267-20230218_142640.jpg	1935-1936	Siegfried	10/3/1936	GAVKO-gala	Dutch	N/A
1935-1936_00268-20230218_142658.jpg	1935-1936	N/A	N/A	N/A	N/A	N/A
1935-1936_00269-20230218_142704.jpg	1935-1936	Faust	12/3/1936	N/A	Dutch	N/A
1935-1936_00270-20230218_142712.jpg	1935-1936	N/A	N/A	N/A	Dutch	N/A
1935-1936_00271-20230218_142718.jpg	1935-1936	Quinten Massijs	14/3/1936	N/A	Dutch	N/A
1935-1936_00272-20230218_142734.jpg	1935-1936	N/A	N/A	N/A	Dutch	N/A
1935-1936_00273-20230218_142740.jpg	1935-1936	Faust	15/3/1936	gastvoorstelling Georges Youreneff	Dutch	N/A
1935-1936_00274-20230218_142807.jpg	1935-1936	N/A	N/A	N/A	Dutch	N/A
1935-1936_00275-20230218_142817.jpg	1935-1936	Quinten Massijs	15/3/1936	N/A	Dutch	N/A
1935-1936_00276-20230218_142837.jpg	1935-1936	N/A	N/A	N/A	Dutch	N/A
1935-1936_00277-20230218_142842.jpg	1935-1936	De Lustige Weduwe	16/3/1936	Eereavond staf Vercamer	Dutch	N/A
1935-1936_00278-20230218_142901.jpg	1935-1936	N/A	N/A	N/A	N/A	N/A
1935-1936_00279-20230218_142907.jpg	1935-1936	Prins Igor	17/3/1936	Feestavond Mr. En Mevr. Jan Verbeeck	Dutch	N/A
1935-1936_00280-20230218_142915.jpg	1935-1936	N/A	N/A	N/A	Dutch	N/A
1935-1936_00281-20230218_142922.jpg	1935-1936	Traviata	19/3/1936	N/A	Dutch	N/A
1935-1936_00282-20230218_142930.jpg	1935-1936	N/A	N/A	N/A	Dutch	N/A
1935-1936_00283-20230218_142938.jpg	1935-1936	Madame Butterfly + De Betooverde Instrumenten	21/3/1936	N/A	Dutch	N/A
1935-1936_00308-20230310_140553.jpg	1935-1936	N/A	N/A	N/A	Dutch	N/A
1935-1936_00284-20230218_143006.jpg	1935-1936	Traviata	22/3/1936	N/A	Dutch	N/A
1935-1936_00285-20230218_143015.jpg	1935-1936	N/A	N/A	N/A	Dutch	N/A
1935-1936_00286-20230218_143024.jpg	1935-1936	Faust	22/3/1936	gastvoorstelling Georges Youreneff	Dutch	N/A
1935-1936_00287-20230218_143032.jpg	1935-1936	N/A	N/A	N/A	Dutch	N/A
1935-1936_00288-20230218_143041.jpg	1935-1936	Salome + Symphonisch gedicht Don Juan	23/3/1936	Richard Strauss Avond	Dutch	N/A
1935-1936_00289-20230218_143048.jpg	1935-1936	N/A	N/A	N/A	N/A	N/A
1935-1936_00290-20230218_143056.jpg	1935-1936	Madame Butterfly + De Betooverde Instrumenten	24/3/1936	N/A	Dutch	N/A
1935-1936_00291-20230218_143104.jpg	1935-1936	N/A	N/A	N/A	Dutch	N/A
1935-1936_00292-20230218_143111.jpg	1935-1936	Ariadne op Naxos + Symphonisch gedicht Burger Edelman	25/3/1936	Richard Strauss Avond	Dutch	N/A
1935-1936_00293-20230218_143120.jpg	1935-1936	N/A	N/A	N/A	N/A	N/A
1935-1936_00294-20230218_143127.jpg	1935-1936	Parsifal	10/4/1936	GAVKO-gala	Dutch	N/A
1935-1936_00295-20230218_143135.jpg	1935-1936	N/A	N/A	N/A	N/A	N/A
1935-1936_00296-20230218_143142.jpg	1935-1936	N/A	N/A	N/A	N/A	N/A
1935-1936_00297-20230218_143150.jpg	1935-1936	N/A	N/A	N/A	N/A	N/A
1935-1936_00298-20230218_143226.jpg	1935-1936	N/A	N/A	N/A	N/A	N/A
1935-1936_00299-20230218_143233.jpg	1935-1936	N/A	N/A	N/A	N/A	N/A
1936-1937_00001-20230218_150006.jpg	1936-1937	N/A	N/A	N/A	N/A	N/A
1936-1937_00002-20230218_150029.jpg	1936-1937	N/A	N/A	N/A	N/A	N/A
1936-1937_00003-20230218_150150.jpg	1936-1937	N/A	N/A	N/A	N/A	N/A
1936-1937_00004-20230218_150211.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00005-20230218_150221.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00006-20230218_150232.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00007-20230218_150301.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00008-20230218_150316.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00009-20230218_150326.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00010-20230218_150337.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00011-20230218_150346.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00012-20230218_150400.jpg	1936-1937	N/A	N/A	N/A	N/A	N/A
1936-1937_00013-20230218_150414.jpg	1936-1937	N/A	N/A	N/A	N/A	N/A
1936-1937_00014-20230218_150422.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00015-20230218_150446.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00016-20230218_150451.jpg	1936-1937	De Meesterzangers van Nurenberg	1/10/1936	Galavertooning 	N/A	N/A
1936-1937_00017-20230218_150501.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00018-20230218_150509.jpg	1936-1937	Carmen	3/10/1936	N/A	Dutch	N/A
1936-1937_00019-20230218_150522.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00020-20230218_150527.jpg	1936-1937	Frederika	4/10/1936	N/A	Dutch	N/A
1936-1937_00021-20230218_150537.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00022-20230218_150544.jpg	1936-1937	De Meesterzangers van Nurenberg	4/10/1936	N/A	Dutch	N/A
1936-1937_00023-20230218_150557.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00024-20230218_150603.jpg	1936-1937	Carmen	6/10/1936	N/A	Dutch	N/A
1936-1937_00025-20230218_150625.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00026-20230218_150631.jpg	1936-1937	Frederika	8/10/1936	N/A	Dutch	N/A
1936-1937_00027-20230218_150642.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00028-20230218_150649.jpg	1936-1937	Prins Igor	10/10/1936	N/A	Dutch	N/A
1936-1937_00029-20230218_150659.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00030-20230218_150705.jpg	1936-1937	De Meesterzangers van Nurenberg	11/10/1936	N/A	Dutch	N/A
1936-1937_00031-20230218_150717.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00032-20230218_150724.jpg	1936-1937	Carmen	11/10/1936	N/A	Dutch	N/A
1936-1937_00033-20230218_150732.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00341-20230310_140806.jpg	1936-1937	Frederika	13/10/1936	N/A	Dutch	N/A
1936-1937_00034-20230218_150806.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00035-20230218_150814.jpg	1936-1937	Prins Igor	15/10/1936	N/A	Dutch	N/A
1936-1937_00036-20230218_150823.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00037-20230218_150829.jpg	1936-1937	De Meesterzangers van Nurenberg	17/10/1936	N/A	Dutch	N/A
1936-1937_00038-20230218_150843.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00039-20230218_150849.jpg	1936-1937	Rigoletto	18/10/1936	N/A	Dutch	N/A
1936-1937_00040-20230218_151247.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00041-20230218_151253.jpg	1936-1937	Prins Igor	18/10/1936	N/A	Dutch	N/A
1936-1937_00042-20230218_151308.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00043-20230218_151314.jpg	1936-1937	Fidelio	20/10/1936	GAVKO-gala	Dutch	N/A
1936-1937_00044-20230218_151333.jpg	1936-1937	N/A	N/A	N/A	N/A	N/A
1936-1937_00045-20230218_151354.jpg	1936-1937	Rigoletto	22/10/1936	N/A	Dutch	N/A
1936-1937_00046-20230218_151414.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00047-20230218_151421.jpg	1936-1937	Rigoletto	24/10/1936	N/A	Dutch	N/A
1936-1937_00048-20230218_151434.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00049-20230218_151527.jpg	1936-1937	Carmen	25/10/1936	N/A	Dutch	N/A
1936-1937_00050-20230218_151539.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00051-20230218_151546.jpg	1936-1937	Frederika	25/10/1936	N/A	Dutch	N/A
1936-1937_00052-20230218_151555.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00053-20230218_151602.jpg	1936-1937	De Barbier van Sevilla	27/10/1936	Vertooning het “Werk der Automobielen voor Invalieden” aangeboden	Dutch	N/A
1936-1937_00054-20230218_151617.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00055-20230218_151623.jpg	1936-1937	De Snijders van Schoonaarde + Carnaval	29/10/1936	gala	Dutch	N/A
1936-1937_00056-20230218_151635.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00057-20230218_151642.jpg	1936-1937	De Snijders van Schoonaarde + Carnaval	1/10/1936	N/A	Dutch	N/A
1936-1937_00058-20230218_151653.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00059-20230218_151703.jpg	1936-1937	De Barbier van Sevilla	1/11/1936	N/A	Dutch	N/A
1936-1937_00060-20230218_151712.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00061-20230218_151721.jpg	1936-1937	De Snijders van Schoonaarde + Carnaval	1/11/1936	N/A	Dutch	N/A
1936-1937_00062-20230218_151730.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00063-20230218_151738.jpg	1936-1937	Faust	3/11/1936	gala	Dutch	N/A
1936-1937_00064-20230218_151747.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00065-20230218_151754.jpg	1936-1937	Carmen	5/11/1936	N/A	Dutch	N/A
1936-1937_00066-20230218_151804.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00067-20230218_151811.jpg	1936-1937	De Barbier van Sevilla	7/11/1936	N/A	Dutch	N/A
1936-1937_00068-20230218_151819.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00069-20230218_151825.jpg	1936-1937	Faust	8/11/1936	N/A	Dutch	N/A
1936-1937_00070-20230218_151840.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00071-20230218_151847.jpg	1936-1937	Tosca	5/11/1936	N/A	Dutch	N/A
1936-1937_00072-20230218_151856.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00073-20230218_151902.jpg	1936-1937	Lakme	10/11/1936	GAVKO-gala	Dutch	N/A
1936-1937_00342-20230310_140823.jpg	1936-1937	N/A	N/A	N/A	N/A	N/A
1936-1937_00343-20230310_140831.jpg	1936-1937	Tosca	12/11/1936	N/A	Dutch	N/A
1936-1937_00074-20230218_151933.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00075-20230218_151940.jpg	1936-1937	Faust	14/11/1936	N/A	Dutch	N/A
1936-1937_00076-20230218_151949.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00077-20230218_151954.jpg	1936-1937	De Snijders van Schoonaarde + Carnaval	15/11/1936	N/A	Dutch	N/A
1936-1937_00078-20230218_152003.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00079-20230218_152009.jpg	1936-1937	De Barbier van Sevilla	15/11/1936	N/A	Dutch	N/A
1936-1937_00080-20230218_152021.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00081-20230218_152027.jpg	1936-1937	Rigoletto	17/11/1936	N/A	Dutch	N/A
1936-1937_00082-20230218_152038.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00083-20230218_152044.jpg	1936-1937	Manon	19/11/1936	eerste opvoering in de KVO	Dutch	N/A
1936-1937_00084-20230218_152055.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00085-20230218_152104.jpg	1936-1937	Fidelio	21/11/1936	N/A	Dutch	N/A
1936-1937_00086-20230218_152121.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00087-20230218_152127.jpg	1936-1937	Manon	22/11/1936	N/A	Dutch	N/A
1936-1937_00088-20230218_152143.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00089-20230218_152151.jpg	1936-1937	Carmen	22/11/1936	N/A	Dutch	N/A
1936-1937_00090-20230218_152200.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00091-20230218_152207.jpg	1936-1937	Tosca	24/11/1936	N/A	Dutch	N/A
1936-1937_00092-20230218_152224.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00093-20230218_152230.jpg	1936-1937	Traviata	25/11/1936	gala	Dutch	N/A
1936-1937_00094-20230218_152241.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00095-20230218_152247.jpg	1936-1937	Faust	26/11/1936	N/A	Dutch	N/A
1936-1937_00096-20230218_152258.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00097-20230218_152306.jpg	1936-1937	Manon	28/11/1936	N/A	Dutch	N/A
1936-1937_00098-20230218_152330.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00344-20230310_140912.jpg	1936-1937	Tosca	29/11/1936	N/A	Dutch	N/A
1936-1937_00099-20230218_152403.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00100-20230218_152412.jpg	1936-1937	Fidelio	29/11/1936	N/A	Dutch	N/A
1936-1937_00101-20230218_152423.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00102-20230218_152432.jpg	1936-1937	Elektra + Paris in Verlegenheid + Tod und Verklarung	1/12/1936	GAVKO-gala	Dutch + German	N/A
1936-1937_00103-20230218_152443.jpg	1936-1937	N/A	N/A	N/A	N/A	N/A
1936-1937_00104-20230218_152458.jpg	1936-1937	N/A	N/A	N/A	N/A	N/A
1936-1937_00105-20230218_152506.jpg	1936-1937	N/A	N/A	N/A	N/A	N/A
1936-1937_00106-20230218_152512.jpg	1936-1937	Elektra + Paris in Verlegenheid + Tod und Verklarung	1/12/1936	GAVKO-gala	Dutch + German	N/A
1936-1937_00107-20230218_152524.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00108-20230218_152531.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00109-20230218_152541.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00110-20230218_152548.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00111-20230218_152600.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00112-20230218_152606.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00113-20230218_152626.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00114-20230218_152648.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00115-20230218_152659.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00116-20230218_152706.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00117-20230218_152719.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00118-20230218_152726.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00119-20230218_152750.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00120-20230218_152759.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00121-20230218_152823.jpg	1936-1937	Boheme	22/12/1936	GAVKO-gala	Dutch	N/A
1936-1937_00122-20230218_152829.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00123-20230218_152836.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00124-20230218_152850.jpg	1936-1937	De Barbier van Sevilla	3/12/1936	N/A	Dutch	N/A
1936-1937_00125-20230218_152907.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00126-20230218_152915.jpg	1936-1937	De Meesterzangers van Nurenberg	5/12/1936	N/A	Dutch	N/A
1936-1937_00127-20230218_152926.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00128-20230218_152934.jpg	1936-1937	Carmen	6/12/1936	N/A	Dutch	N/A
1936-1937_00129-20230218_152948.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00130-20230218_152958.jpg	1936-1937	Manon	6/12/1936	N/A	Dutch	N/A
1936-1937_00131-20230218_153028.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00132-20230218_153039.jpg	1936-1937	Iphigénie en Tauride	8/12/1936	gala	Dutch	N/A
1936-1937_00133-20230218_153048.jpg	1936-1937	N/A	N/A	N/A	N/A	N/A
1936-1937_00134-20230218_153054.jpg	1936-1937	Traviata	10/12/1936	N/A	Dutch	N/A
1936-1937_00135-20230218_153104.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00136-20230218_153109.jpg	1936-1937	Tosca + Carnaval	12/12/1936	N/A	Dutch	N/A
1936-1937_00137-20230218_153118.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00138-20230218_153125.jpg	1936-1937	De Meesterzangers van Nurenberg	13/12/1936	N/A	Dutch	N/A
1936-1937_00139-20230218_153135.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00140-20230218_153142.jpg	1936-1937	Rigoletto	13/12/1936	N/A	Dutch	N/A
1936-1937_00141-20230218_153150.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00142-20230218_153156.jpg	1936-1937	Traviata	15/12/1936	N/A	Dutch	N/A
1936-1937_00143-20230218_153211.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00144-20230218_153220.jpg	1936-1937	Manon	17/11/1936	N/A	Dutch	N/A
1936-1937_00145-20230218_153232.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00146-20230218_153244.jpg	1936-1937	De Wondervedel	19/12/1936	gala, creatie in België	Dutch	N/A
1936-1937_00147-20230218_153254.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00148-20230218_153300.jpg	1936-1937	Traviata	20/12/1936	N/A	Dutch	N/A
1936-1937_00149-20230218_153310.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00150-20230218_153316.jpg	1936-1937	De Wondervedel	20/12/1936	N/A	Dutch	N/A
1936-1937_00151-20230218_153327.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00152-20230218_153332.jpg	1936-1937	Dansenreeks + Boheme	22/12/1936	GAVKO-gala	Dutch	N/A
1936-1937_00153-20230218_153341.jpg	1936-1937	N/A	N/A	N/A	N/A	N/A
1936-1937_00154-20230218_153347.jpg	1936-1937	De Wondervedel	24/12/1936	N/A	Dutch	N/A
1936-1937_00155-20230218_153401.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00345-20230310_140948.jpg	1936-1937	Carmen	26/12/1936	N/A	Dutch	N/A
1936-1937_00156-20230218_153447.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00157-20230218_153455.jpg	1936-1937	De Wondervedel	27/12/1936	N/A	Dutch	N/A
1936-1937_00158-20230218_153503.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00159-20230218_153510.jpg	1936-1937	Traviata	27/12/1936	N/A	Dutch	N/A
1936-1937_00160-20230218_153527.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00161-20230218_153546.jpg	1936-1937	Carmen	29/12/1936	N/A	Dutch	N/A
1936-1937_00162-20230218_153558.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00163-20230218_153607.jpg	1936-1937	Walsdroom	31/12/1936	N/A	Dutch	N/A
1936-1937_00164-20230218_153616.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00165-20230218_153623.jpg	1936-1937	Walsdroom	2/1/1937	N/A	Dutch	N/A
1936-1937_00166-20230218_153634.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00167-20230218_153641.jpg	1936-1937	Walsdroom	3/1/1937	N/A	Dutch	N/A
1936-1937_00168-20230218_153657.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00169-20230218_153705.jpg	1936-1937	Manon	3/1/1937	N/A	Dutch	N/A
1936-1937_00170-20230218_153716.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00171-20230218_153724.jpg	1936-1937	Frederika	5/1/1937	N/A	Dutch	N/A
1936-1937_00172-20230218_153749.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00173-20230218_153800.jpg	1936-1937	Rigoletto	7/1/1937	N/A	Dutch	N/A
1936-1937_00174-20230218_153821.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00175-20230218_153829.jpg	1936-1937	Mater Dolorosa + Paris in Verlegenheid + Cavalleria Rusticana	9/1/1937	N/A	Dutch	N/A
1936-1937_00176-20230218_153855.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00177-20230218_153903.jpg	1936-1937	Manon	10/1/1937	N/A	Dutch	N/A
1936-1937_00178-20230218_153918.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00179-20230218_153926.jpg	1936-1937	Mater Dolorosa + Paris in Verlegenheid + Cavalleria Rusticana	10/1/1937	N/A	Dutch	N/A
1936-1937_00180-20230218_153937.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00181-20230218_153944.jpg	1936-1937	Figaro’s Bruiloft	12/1/1937	gala	Dutch	N/A
1936-1937_00182-20230218_154010.jpg	1936-1937	N/A	N/A	N/A	N/A	N/A
1936-1937_00183-20230218_154019.jpg	1936-1937	Walsdroom	14/1/1937	N/A	Dutch	N/A
1936-1937_00184-20230218_154031.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00185-20230218_154040.jpg	1936-1937	Boheme	16/1/1937	N/A	Dutch	N/A
1936-1937_00186-20230218_154050.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00187-20230218_154058.jpg	1936-1937	Faust	17/1/1937	N/A	Dutch	N/A
1936-1937_00188-20230218_154111.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00189-20230218_154117.jpg	1936-1937	Walsdroom	17/1/1937	N/A	Dutch	N/A
1936-1937_00190-20230218_154128.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00191-20230218_154135.jpg	1936-1937	Manon	19/1/1937	N/A	Dutch	N/A
1936-1937_00192-20230218_154146.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00193-20230218_154154.jpg	1936-1937	Tosca + De Bekoring	21/1/1937	N/A	Dutch	N/A
1936-1937_00194-20230218_154207.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00195-20230218_154217.jpg	1936-1937	Faust	23/1/1937	N/A	Dutch	N/A
1936-1937_00196-20230218_154227.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00197-20230218_154234.jpg	1936-1937	Het Land van den Glimlach	24/1/1937	N/A	Dutch	N/A
1936-1937_00198-20230218_154245.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00199-20230218_154254.jpg	1936-1937	Boheme	24/1/1937	N/A	Dutch	N/A
1936-1937_00200-20230218_154307.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00200-20230218_154307.jpg	1936-1937	Rigoletto	26/1/1937	Vertooning de A. F. v. V., afdeeling “Jeugdzorg” aangeboden	Dutch	N/A
1936-1937_00201-20230218_154333.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00202-20230218_154341.jpg	1936-1937	Het Land van den Glimlach	28/1/1937	N/A	Dutch	N/A
1936-1937_00203-20230218_154351.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00204-20230218_154357.jpg	1936-1937	Walsdroom	30/1/0937	N/A	Dutch	N/A
1936-1937_00205-20230218_154408.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00206-20230218_154415.jpg	1936-1937	Tosca + De Bekoring	31/1/1937	N/A	Dutch	N/A
1936-1937_00207-20230218_154425.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00208-20230218_154432.jpg	1936-1937	Het Land van den Glimlach	31/1/1937	N/A	Dutch	N/A
1936-1937_00209-20230218_154441.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00210-20230218_154448.jpg	1936-1937	Tosca + Dansenreeks	2/2/1937	GAVKO-gala	Dutch	N/A
1936-1937_00211-20230218_154456.jpg	1936-1937	N/A	N/A	N/A	N/A	N/A
1936-1937_00212-20230218_154502.jpg	1936-1937	Boheme	4/2/1937	N/A	Dutch	N/A
1936-1937_00213-20230218_154510.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00214-20230218_154517.jpg	1936-1937	Traviata	6/2/1937	N/A	Dutch	N/A
1936-1937_00215-20230218_154527.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00216-20230218_154535.jpg	1936-1937	Cavalleria Rusticana + Paljas	7/2/1937	N/A	Dutch	Was eerst 14/2/1937
1936-1937_00217-20230218_154546.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00218-20230218_154553.jpg	1936-1937	Walsdroom	7/2/1937	N/A	Dutch	N/A
1936-1937_00219-20230218_154604.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00220-20230218_154612.jpg	1936-1937	Faust	8/2/1937	N/A	Dutch	N/A
1936-1937_00221-20230218_154626.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00222-20230218_154634.jpg	1936-1937	Cavalleria Rusticana + Paljas	9/2/1937	N/A	Dutch	N/A
1936-1937_00223-20230218_154643.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00224-20230218_154654.jpg	1936-1937	Tannhäuser	11/2/1937	N/A	Dutch	N/A
1936-1937_00225-20230218_154705.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00346-20230310_141023.jpg	1936-1937	Tannhäuser	13/2/1937	N/A	Dutch	N/A
1936-1937_00226-20230218_154730.jpg	1936-1937	N/A	N/A	N/A	Dutch	N/A
1936-1937_00227-20230218_154737.jpg	1936-1937	Walsdroom	14/2/1937	N/A	Dutch	N/A
