Image	Collection	Production	Date	Occasion	Leaflet_Language	Opmerking
0056_Untitled document_00057-20230218_104616.jpg	1933-1934	Faust	31/10/1933	N/A	Dutch	N/A
0057_Untitled document_00058-20230218_104625.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0058_Untitled document_00059-20230218_104632.jpg	1933-1934	De Vliegende Hollander	2/11/1933	gastvoorstelling Gustaaf de Loor	Dutch	N/A
0059_Untitled document_00060-20230218_104640.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0060_Untitled document_00061-20230218_104647.jpg	1933-1934	Hoffman’s Vertellingen	4/11/1933	N/A	Dutch	N/A
0061_Untitled document_00062-20230218_104808.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0062_Untitled document_00063-20230218_104815.jpg	1933-1934	De Vliegende Hollander	5/11/1933	gastvoorstelling Gustaaf de Loor	Dutch	N/A
0063_Untitled document_00064-20230218_104828.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0064_Untitled document_00065-20230218_104835.jpg	1933-1934	Sissy	5/11/1933	gastvoorstelling Octavie Belloy, eerste opvoering in België	Dutch	N/A
0065_Untitled document_00066-20230218_104851.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0066_Untitled document_00067-20230218_104916.jpg	1933-1934	Hoffman’s Vertellingen	7/11/1933	N/A	Dutch	N/A
0067_Untitled document_00068-20230218_104929.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0068_Untitled document_00069-20230218_104935.jpg	1933-1934	Sissy	9/11/1933	gastvoorstelling Octavie Belloy	Dutch	N/A
0069_Untitled document_00070-20230218_104947.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0070_Untitled document_00071-20230218_104955.jpg	1933-1934	Tosca	11/11/1933	gastvoorstelling Gustaaf de Loor – Georges Youreneff	Dutch	N/A
0071_Untitled document_00072-20230218_105007.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0072_Untitled document_00073-20230218_105014.jpg	1933-1934	Sissy	12/11/1933	gastvoorstelling Octavie Belloy	Dutch	N/A
0073_Untitled document_00074-20230218_105035.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0074_Untitled document_00075-20230218_105041.jpg	1933-1934	Tosca	12/11/1933	gastvoorstelling Georges Youreneff	Dutch	N/A
0075_Untitled document_00076-20230218_105052.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0076_Untitled document_00077-20230218_105059.jpg	1933-1934	Tannhäuser	14/11/1933	GAKVO-gala	Dutch	N/A
0077_Untitled document_00078-20230218_105108.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0078_Untitled document_00079-20230218_105115.jpg	1933-1934	Tosca	16/11/1933	gastvoorstelling Georges Youreneff	Dutch	N/A
0079_Untitled document_00080-20230218_105127.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0080_Untitled document_00081-20230218_105133.jpg	1933-1934	Madame Butterfly	18/11/1933	gastvoorstelling Helena Krinkels	Dutch	N/A
0081_Untitled document_00082-20230218_105144.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0082_Untitled document_00083-20230218_105151.jpg	1933-1934	Tosca	19/11/1933	gastvoorstelling Georges Youreneff	Dutch	N/A
0083_Untitled document_00084-20230218_105202.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0084_Untitled document_00085-20230218_105209.jpg	1933-1934	Madame Butterfly + De Wals	19/11/1933	gastvoorstelling Helena Krinkels (Madame Butterfly)	Dutch	N/A
0085_Untitled document_00086-20230218_105221.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0086_Untitled document_00087-20230218_105227.jpg	1933-1934	Tosca	21/11/1933	gastvoorstelling Georges Youreneff	Dutch	N/A
0087_Untitled document_00088-20230218_105239.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0088_Untitled document_00089-20230218_105245.jpg	1933-1934	Sissy	23/11/1933	gastvoorstelling Octavie Belloy	Dutch	N/A
0089_Untitled document_00090-20230218_105256.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0090_Untitled document_00091-20230218_105303.jpg	1933-1934	Francesca	25/11/1933	gala, eerste opvoering	Dutch	N/A
0091_Untitled document_00092-20230218_105312.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0092_Untitled document_00093-20230218_105319.jpg	1933-1934	Faust	26/11/1933	N/A	Dutch	N/A
0093_Untitled document_00094-20230218_105329.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0094_Untitled document_00095-20230218_105337.jpg	1933-1934	Sissy	26/11/1933	gastvoorstelling Octavie Belloy	Dutch	N/A
0095_Untitled document_00096-20230218_105346.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0096_Untitled document_00097-20230218_105354.jpg	1933-1934	Madame Butterfly + De Wals	28/11/1933	GAKVO-gala	Dutch	N/A
0097_Untitled document_00098-20230218_105405.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0098_Untitled document_00099-20230218_105412.jpg	1933-1934	Francesca	30/11/1933	N/A	Dutch	N/A
0099_Untitled document_00100-20230218_105424.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
untitleddocument_00001-20230818_142251.jpg	1933-1934	Boris Godounow	2/12/1933	gastvoorstelling Georges Youreneff	Dutch	N/A
0100_1933-1934_00101-20230218_111826.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0101_1933-1934_00102-20230218_111834.jpg	1933-1934	Madame Butterfly	3/12/1933	gastvoorstelling Helena Krinkels	Dutch	N/A
0102_1933-1934_00103-20230218_111843.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0103_1933-1934_00104-20230218_111850.jpg	1933-1934	De Walkure	3/12/1933	gastvoorstelling Gustaaf de Loor	Dutch	N/A
0104_1933-1934_00105-20230218_111859.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0105_1933-1934_00106-20230218_111907.jpg	1933-1934	Traviata	5/12/1933	gastvoorstelling Ewa Bandrowska-Turska	Dutch	N/A
0106_1933-1934_00107-20230218_111917.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0107_1933-1934_00108-20230218_111927.jpg	1933-1934	Hansje en Grietje	6/12/1933	Kindermatinée	Dutch	N/A
0108_1933-1934_00109-20230218_111940.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0109_1933-1934_00110-20230218_111948.jpg	1933-1934	De Walkure	7/12/1933	gastvoorstelling Gustaaf de Loor	Dutch	N/A
0110_1933-1934_00111-20230218_111958.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0111_1933-1934_00112-20230218_112006.jpg	1933-1934	Traviata	9/12/1933	gastvoorstelling Ewa Bandrowska-Turska	Dutch	N/A
