,Image,Collection,Production,Date,Occasion,Leaflet_Language,Opmerking,Multiple bill,Performances_ID,Normalised title,Original language,Composer,Original premiere,Original title,genre,Title_Language,Season
1221,1936-1937_00247-20230218_155056.jpg,1936-1937,Mater Dolorosa,1937-02-28,,Dutch,,True,724250,Mater Dolorosa,NL,Daniel Sternefeld,1935,Mater Dolorosa,opera,Unk,1936-1937
1222,1936-1937_00247-20230218_155056.jpg,1936-1937,Paljas,1937-02-28,,Dutch,,True,724250,Paljas,ITA,Ruggiero Leoncavallo,1892,Pagliacci,verisme,Unk,1936-1937
1224,1936-1937_00249-20230218_155115.jpg,1936-1937,Maroef,1937-02-28,,Dutch,,False,272852,Maroef,FR,Henri Rabaud,1914,"Mârouf, savetier du Caire",komische oper,Unk,1936-1937
1226,1936-1937_00347-20230310_141047.jpg,1936-1937,Faust,1937-03-02,gala,Dutch,,False,698301,Faust,FR,Charles Gounod,1859,Faust,grand opera,Unk,1936-1937
1228,1936-1937_00252-20230218_155210.jpg,1936-1937,Traviata,1937-03-04,,Dutch,,False,242520,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,Unk,1936-1937
1230,1936-1937_00254-20230218_155226.jpg,1936-1937,Aïda,1937-03-06,eerste opvoering in de KVO,Dutch,,False,655064,Aïda,ITA,Giuseppe Verdi,1872,Aïda,opera,Unk,1936-1937
1232,1936-1937_00256-20230218_155257.jpg,1936-1937,Maroef,1937-03-07,,Dutch,,False,495184,Maroef,FR,Henri Rabaud,1914,"Mârouf, savetier du Caire",komische oper,Unk,1936-1937
1234,1936-1937_00258-20230218_155316.jpg,1936-1937,Aïda,1937-03-07,,Dutch,,False,900144,Aïda,ITA,Giuseppe Verdi,1872,Aïda,opera,Unk,1936-1937
1236,1936-1937_00260-20230218_155333.jpg,1936-1937,Madame Butterfly,1937-03-09,Vertooning de “Vereeniging van het Postenpersoneel der Antwerpsche Schouwburgen” aangeboden,Dutch,,False,439508,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,NL,1936-1937
1238,1936-1937_00262-20230218_155402.jpg,1936-1937,Aïda,1937-03-11,,Dutch,,False,419376,Aïda,ITA,Giuseppe Verdi,1872,Aïda,opera,Unk,1936-1937
1240,1936-1937_00264-20230218_155422.jpg,1936-1937,Madame Butterfly,1937-03-13,,Dutch,,True,291338,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,NL,1936-1937
1241,1936-1937_00264-20230218_155422.jpg,1936-1937,Het Hooglied,1937-03-13,,Dutch,,True,291338,Het Hooglied,NL,Karel Candael,1936,Het Hooglied,ballet,NL,1936-1937
1243,1936-1937_00266-20230218_155439.jpg,1936-1937,Aïda,1937-03-14,,Dutch,,False,782360,Aïda,ITA,Giuseppe Verdi,1872,Aïda,opera,Unk,1936-1937
1245,1936-1937_00268-20230218_155457.jpg,1936-1937,Madame Butterfly,1937-03-14,,Dutch,,True,737955,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,NL,1936-1937
1246,1936-1937_00268-20230218_155457.jpg,1936-1937,Het Hooglied,1937-03-14,,Dutch,,True,737955,Het Hooglied,NL,Karel Candael,1936,Het Hooglied,ballet,NL,1936-1937
1248,1936-1937_00270-20230218_155515.jpg,1936-1937,De Meesterzangers van Nurenberg,1937-03-16,GAVKO-gala,Dutch,,False,438009,De Meesterzangers van Nurenberg,DUI,Richard Wagner,1868,Die Meistersinger von Nürnberg,zangspel,NL,1936-1937
1250,1936-1937_00272-20230218_155536.jpg,1936-1937,Madame Butterfly,1937-03-18,,Dutch,,True,133412,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,NL,1936-1937
1251,1936-1937_00272-20230218_155536.jpg,1936-1937,Het Hooglied,1937-03-18,,Dutch,,True,133412,Het Hooglied,NL,Karel Candael,1936,Het Hooglied,ballet,NL,1936-1937
1253,1936-1937_00274-20230218_155554.jpg,1936-1937,De Bruid der Zee,1937-03-20,,Dutch,,False,426447,De Bruid der Zee,NL,Jan Blockx,1901,De Bruid der Zee,romantische opera,NL,1936-1937
1255,1936-1937_00276-20230218_155611.jpg,1936-1937,Madame Butterfly,1937-03-21,,Dutch,,True,310684,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,NL,1936-1937
1256,1936-1937_00276-20230218_155611.jpg,1936-1937,Het Hooglied,1937-03-21,,Dutch,,True,310684,Het Hooglied,NL,Karel Candael,1936,Het Hooglied,ballet,NL,1936-1937
1258,1936-1937_00278-20230218_155631.jpg,1936-1937,De Bruid der Zee,1937-03-21,,Dutch,,False,250616,De Bruid der Zee,NL,Jan Blockx,1901,De Bruid der Zee,romantische opera,NL,1936-1937
1260,1936-1937_00280-20230218_155652.jpg,1936-1937,Tannhäuser,1937-03-23,Ter gelegenheid van het Tienjarig Podiumjubileum van Bertha Briffaux,Dutch,,False,975643,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,Unk,1936-1937
1262,1936-1937_00282-20230218_155711.jpg,1936-1937,Parsifal,1937-03-26,,Dutch,,False,997345,Parsifal,DUI,Richard Wagner,1882,Parsifal,music drama,Unk,1936-1937
1264,1936-1937_00284-20230218_155727.jpg,1936-1937,Het Land van den Glimlach,1937-03-27,,Dutch,,False,787067,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,NL,1936-1937
1266,1936-1937_00348-20230310_141114.jpg,1936-1937,De Bruid der Zee,1937-03-28,,Dutch,,False,567600,De Bruid der Zee,NL,Jan Blockx,1901,De Bruid der Zee,romantische opera,NL,1936-1937
1268,1936-1937_00287-20230218_155817.jpg,1936-1937,Faust,1937-03-28,,Dutch,,False,960745,Faust,FR,Charles Gounod,1859,Faust,grand opera,Unk,1936-1937
1270,1936-1937_00289-20230218_155836.jpg,1936-1937,Parsifal,1937-03-29,,Dutch,,False,221784,Parsifal,DUI,Richard Wagner,1882,Parsifal,music drama,Unk,1936-1937
1272,1936-1937_00291-20230218_155912.jpg,1936-1937,Manon,1937-03-30,Sluitvoorstelling,Dutch,,True,124645,Manon,FR,Jules Massenet,1884,Manon,komische oper,NL,1936-1937
1273,1936-1937_00291-20230218_155912.jpg,1936-1937,De Meesterzangers,1937-03-30,Sluitvoorstelling,Dutch,,True,124645,De Meesterzangers van Nurenberg,DUI,Richard Wagner,1868,Die Meistersinger von Nürnberg,zangspel,NL,1936-1937
1274,1936-1937_00291-20230218_155912.jpg,1936-1937,Carmen,1937-03-30,Sluitvoorstelling,Dutch,,True,124645,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,Unk,1936-1937
1275,1936-1937_00291-20230218_155912.jpg,1936-1937,Rhapsodie N. 2,1937-03-30,Sluitvoorstelling,Dutch,,True,124645,Rhapsodie N. 2,N/A,Franz Liszt,1847,Rapsódia Húngara No. 2,rhapsodie,Unk,1936-1937
1276,1936-1937_00291-20230218_155912.jpg,1936-1937,Boheme,1937-03-30,Sluitvoorstelling,Dutch,,True,124645,Boheme,N/A,N/A,N/A,N/A,N/A,N/A,1936-1937
1277,1936-1937_00291-20230218_155912.jpg,1936-1937,Leonore,1937-03-30,Sluitvoorstelling,Dutch,,True,124645,Leonore,N/A,Ludwig von Beethoven,1838,Leonora Overture No.1,overture,Unk,1936-1937
1278,1936-1937_00291-20230218_155912.jpg,1936-1937,Fidelio,1937-03-30,Sluitvoorstelling,Dutch,,True,124645,Fidelio,DUI,Ludwig van Beethoven,1805,Fidelio,rettungsoper,Unk,1936-1937
1280,1936-1937_00293-20230218_155929.jpg,1936-1937,Walsdroom,1937-04-01,,Dutch,,False,953462,Ein Walzertraum,DUI,Oscar Straus,1907,Ein Walzertraum,operetta,DUI,1936-1937
1282,1936-1937_00295-20230218_155948.jpg,1936-1937,Cavalleria Rusticana,1937-04-03,,Dutch,,True,542648,Cavalleria Rusticana,ITA,Pietro Mascagni,1890,Cavalleria rusticana,?,ITA,1936-1937
1283,1936-1937_00295-20230218_155948.jpg,1936-1937,Paljas,1937-04-03,,Dutch,,True,542648,Paljas,ITA,Ruggiero Leoncavallo,1892,Pagliacci,verisme,Unk,1936-1937
1285,1936-1937_00297-20230218_160007.jpg,1936-1937,Walsdroom,1937-04-04,,Dutch,,False,238322,Ein Walzertraum,DUI,Oscar Straus,1907,Ein Walzertraum,operetta,DUI,1936-1937
1287,1936-1937_00299-20230218_160023.jpg,1936-1937,Het Land van den Glimlach,1937-04-04,,Dutch,,False,719425,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,NL,1936-1937
1289,1936-1937_00301-20230218_160040.jpg,1936-1937,Cavalleria Rusticana,1937-04-06,,Dutch,,True,305389,Cavalleria Rusticana,ITA,Pietro Mascagni,1890,Cavalleria rusticana,?,ITA,1936-1937
1290,1936-1937_00301-20230218_160040.jpg,1936-1937,Paljas,1937-04-06,,Dutch,,True,305389,Paljas,ITA,Ruggiero Leoncavallo,1892,Pagliacci,verisme,Unk,1936-1937
1292,1936-1937_00303-20230218_160056.jpg,1936-1937,Paganini,1937-04-08,,Dutch,,False,669772,Paganini,DUI,Franz Lehár,1925,Paganini,operetta,Unk,1936-1937
1294,1936-1937_00305-20230218_160113.jpg,1936-1937,Paganini,1937-04-10,gala,Dutch,,False,134918,Paganini,DUI,Franz Lehár,1925,Paganini,operetta,Unk,1936-1937
1296,1936-1937_00307-20230218_160130.jpg,1936-1937,Manon,1937-04-11,,Dutch,,False,316908,Manon,FR,Jules Massenet,1884,Manon,komische oper,NL,1936-1937
1298,1936-1937_00309-20230218_160145.jpg,1936-1937,Paganini,1937-04-11,,Dutch,,False,408806,Paganini,DUI,Franz Lehár,1925,Paganini,operetta,Unk,1936-1937
1300,1936-1937_00349-20230310_141130.jpg,1936-1937,Paganini,1937-04-13,,Dutch,,False,693851,Paganini,DUI,Franz Lehár,1925,Paganini,operetta,Unk,1936-1937
1302,1936-1937_00312-20230218_160228.jpg,1936-1937,Het Land van den Glimlach,1937-04-15,,Dutch,,False,314562,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,NL,1936-1937
1304,1936-1937_00314-20230218_160243.jpg,1936-1937,In memoriam,1937-04-20,gala,Dutch,,True,694817,In memoriam,NL,Lodewijk Mortelmans,1937,In memoriam,in memoriam,NL,1936-1937
1305,1936-1937_00314-20230218_160243.jpg,1936-1937,De Walkure,1937-04-20,gala,Dutch,,True,694817,De Walkure,DUI,Richard Wagner,1874,Die Walküre,gesamtkunstwerk,NL,1936-1937
1306,1936-1937_00314-20230218_160243.jpg,1936-1937,Vina Bovy,1937-04-20,gala,Dutch,,True,694817,Vina Bovy,?,Vina Bovy,?,Vina Bovy,liederen,Unk,1936-1937
1307,1936-1937_00314-20230218_160243.jpg,1936-1937,Zweedse liederen,1937-04-20,gala,Dutch,,True,694817,Zweedse liederen,N/A,N/A,N/A,N/A,N/A,N/A,1936-1937
1308,1936-1937_00314-20230218_160243.jpg,1936-1937,Carnaval,1937-04-20,gala,Dutch,,True,694817,Carnaval,N/A,Jaak Opsomer,1936,Carnaval,ballet,Unk,1936-1937
1309,1936-1937_00314-20230218_160243.jpg,1936-1937,Traviata,1937-04-20,gala,Dutch,,True,694817,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,Unk,1936-1937
1344,1937-1938_00009-20230218_161225.jpg,1937-1938,Lohengrin,1937-10-02,"gala, opening van het seizoen",Dutch,,False,874481,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,Unk,1937-1938
1346,1937-1938_00011-20230218_161243.jpg,1937-1938,De Vledermuis,1937-10-03,,Dutch,,False,157974,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,NL,1937-1938
1348,1937-1938_00013-20230218_161259.jpg,1937-1938,Werther,1937-10-03,eerste opvoering in de KVO,Dutch,,False,117904,Werther,FR,Jules Massenet,1892,Werther,lyrisch drama,Unk,1937-1938
1350,1937-1938_00015-20230218_161313.jpg,1937-1938,De Vledermuis,1937-10-05,,Dutch,,False,936090,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,NL,1937-1938
1352,1937-1938_00017-20230218_161329.jpg,1937-1938,Lohengrin,1937-10-07,,Dutch,,False,318503,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,Unk,1937-1938
1354,1937-1938_00019-20230218_161344.jpg,1937-1938,Lakmé,1937-10-09,,Dutch,,False,621662,Lakme,FR,Léo Delibes,1883,Lakmé,romanische opera,Unk,1937-1938
1356,1937-1938_00021-20230218_161403.jpg,1937-1938,Lohengrin,1937-10-10,,Dutch,,False,531592,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,Unk,1937-1938
1358,1937-1938_00023-20230218_161422.jpg,1937-1938,De Vledermuis,1937-10-10,,Dutch,,False,290341,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,NL,1937-1938
1360,1937-1938_00025-20230218_161437.jpg,1937-1938,Aida,1937-10-12,gala,Dutch,,False,452752,Aïda,ITA,Giuseppe Verdi,1872,Aïda,opera,Unk,1937-1938
1362,1937-1938_00026-20230218_161508.jpg,1937-1938,De Vledermuis,1937-10-14,,Dutch,,False,633196,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,NL,1937-1938
1364,1937-1938_00028-20230218_161524.jpg,1937-1938,Werther,1938-10-16,,Dutch,,False,617926,Werther,FR,Jules Massenet,1892,Werther,lyrisch drama,Unk,1938-1939
1366,1937-1938_00030-20230218_161541.jpg,1937-1938,Lakmé,1937-10-17,,Dutch,,False,476603,Lakme,FR,Léo Delibes,1883,Lakmé,romanische opera,Unk,1937-1938
1368,1937-1938_00032-20230218_161612.jpg,1937-1938,Lohengrin,1937-10-17,,Dutch,,False,238009,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,Unk,1937-1938
1370,1937-1938_00034-20230218_161639.jpg,1937-1938,Werther,1937-10-19,,Dutch,,False,737514,Werther,FR,Jules Massenet,1892,Werther,lyrisch drama,Unk,1937-1938
1372,1937-1938_00036-20230218_161653.jpg,1937-1938,Lakmé,1937-10-21,,Dutch,,False,879040,Lakme,FR,Léo Delibes,1883,Lakmé,romanische opera,Unk,1937-1938
1374,1937-1938_00038-20230218_161712.jpg,1937-1938,De Vledermuis,1937-10-23,,Dutch,,False,310054,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,NL,1937-1938
1376,1937-1938_00040-20230218_161739.jpg,1937-1938,Walsdroom,1937-10-24,,Dutch,,False,857154,Ein Walzertraum,DUI,Oscar Straus,1907,Ein Walzertraum,operetta,DUI,1937-1938
1378,1937-1938_00042-20230218_161805.jpg,1937-1938,Lakmé,1937-10-24,,Dutch,,False,284180,Lakme,FR,Léo Delibes,1883,Lakmé,romanische opera,Unk,1937-1938
1380,1937-1938_00044-20230218_161822.jpg,1937-1938,Aïda,1937-10-26,GAKVO-gala,Dutch,,False,995441,Aïda,ITA,Giuseppe Verdi,1872,Aïda,opera,Unk,1937-1938
1382,1937-1938_00046-20230218_161843.jpg,1937-1938,Werther,1937-10-28,,Dutch,,False,776107,Werther,FR,Jules Massenet,1892,Werther,lyrisch drama,Unk,1937-1938
1384,1937-1938_00048-20230218_161901.jpg,1937-1938,De Rozenkavalier,1937-10-30,,Dutch,,False,604050,De Rozenkavalier,DUI,Richard Strauss,1911,Der Rosenkavalier,comic-fantasy,NL,1937-1938
1386,1937-1938_00050-20230218_161916.jpg,1937-1938,Werther,1937-10-31,,Dutch,,False,489362,Werther,FR,Jules Massenet,1892,Werther,lyrisch drama,Unk,1937-1938
1388,1937-1938_00309-20230310_141407.jpg,1937-1938,De Rozenkavalier,1937-10-31,,Dutch,,False,780973,De Rozenkavalier,DUI,Richard Strauss,1911,Der Rosenkavalier,comic-fantasy,NL,1937-1938
1390,1937-1938_00053-20230218_162002.jpg,1937-1938,Carmen,1937-11-02,,Dutch,,False,771020,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,Unk,1937-1938
1392,1937-1938_00055-20230218_162036.jpg,1937-1938,Lohengrin,1937-11-04,,Dutch,,False,433176,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,Unk,1937-1938
1394,1937-1938_00057-20230218_162104.jpg,1937-1938,Carmen,1937-11-06,,Dutch,,False,372201,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,Unk,1937-1938
