,Image,Collection,Production,Date,Occasion,Multiple bill,Performances_ID,Normalised title,Original language,Composer,Original premiere,Original title,genre,Season,Directors,Title_Language
413,1897-1900 Nederlandsch Lyrisch Tooneel. Programma's_00303-20211201_152651.jpg,1897-1900,Thijl Uilenspiegel,1900-01-27,,False,262324,Thijl Uilenspiegel,DUI,Richard Strauss,1895,Till Eulenspiegels lustige Streiche,tonal poem,1899-1900,Karel van Walle,NL
414,1897-1900 Nederlandsch Lyrisch Tooneel. Programma's_00305-20211201_152709.jpg,1897-1900,Quinten Massijs,1900-01-30,,False,669480,Quinten Massijs,NL,Emile Wambach,1899,Quinten Massys,lyrisch drama,1899-1900,Karel van Walle,Unk
415,1897-1900 Nederlandsch Lyrisch Tooneel. Programma's_00307-20211201_152725.jpg,1897-1900,Thijl Uilenspiegel,1900-02-01,Feestavond,False,221104,Thijl Uilenspiegel,DUI,Richard Strauss,1895,Till Eulenspiegels lustige Streiche,tonal poem,1899-1900,Karel van Walle,NL
416,1897-1900 Nederlandsch Lyrisch Tooneel. Programma's_00309-20211201_152742.jpg,1897-1900,Thijl Uilenspiegel,1900-02-03,,False,865869,Thijl Uilenspiegel,DUI,Richard Strauss,1895,Till Eulenspiegels lustige Streiche,tonal poem,1899-1900,Karel van Walle,NL
417,1897-1900 Nederlandsch Lyrisch Tooneel. Programma's_00311-20211201_152755.jpg,1897-1900,Quinten Massijs,1900-02-04,Buitengewone vertoning inden Cirkschouwburg,False,713794,Quinten Massijs,NL,Emile Wambach,1899,Quinten Massys,lyrisch drama,1899-1900,Karel van Walle,Unk
418,1897-1900 Nederlandsch Lyrisch Tooneel. Programma's_00315-20211201_152836.jpg,1897-1900,Quinten Massijs,1900-02-10,,False,960820,Quinten Massijs,NL,Emile Wambach,1899,Quinten Massys,lyrisch drama,1899-1900,Karel van Walle,Unk
419,1897-1900 Nederlandsch Lyrisch Tooneel. Programma's_00317-20211201_152851.jpg,1897-1900,Thijl Uilenspiegel,1900-02-11,Volksvertoning,False,177340,Thijl Uilenspiegel,DUI,Richard Strauss,1895,Till Eulenspiegels lustige Streiche,tonal poem,1899-1900,Karel van Walle,NL
420,1897-1900 Nederlandsch Lyrisch Tooneel. Programma's_00319-20211201_152907.jpg,1897-1900,Het Krekeltje,1900-02-13,,False,575157,Het Krekeltje,DUI,Carl Goldmark,1896,Das Heimchen am Herd,komische oper,1899-1900,Karel van Walle,NL
421,1897-1900 Nederlandsch Lyrisch Tooneel. Programma's_00321-20211201_152922.jpg,1897-1900,Thijl Uilenspiegel,1900-02-15,Feestavond,False,174916,Thijl Uilenspiegel,DUI,Richard Strauss,1895,Till Eulenspiegels lustige Streiche,tonal poem,1899-1900,Karel van Walle,NL
422,1897-1900 Nederlandsch Lyrisch Tooneel. Programma's_00323-20211201_152935.jpg,1897-1900,Tannhauser,1900-02-17,,False,416446,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1899-1900,Karel van Walle,Unk
423,1897-1900 Nederlandsch Lyrisch Tooneel. Programma's_00325-20211201_152949.jpg,1897-1900,Herbergprinses,1900-02-18,,False,985319,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1899-1900,Karel van Walle,NL
424,1897-1900 Nederlandsch Lyrisch Tooneel. Programma's_00327-20211201_153007.jpg,1897-1900,Quinten Massijs,1900-02-20,,False,917411,Quinten Massijs,NL,Emile Wambach,1899,Quinten Massys,lyrisch drama,1899-1900,Karel van Walle,Unk
425,1897-1900 Nederlandsch Lyrisch Tooneel. Programma's_00329-20211201_153021.jpg,1897-1900,Thijl Uilenspiegel,1900-02-24,,False,534481,Thijl Uilenspiegel,DUI,Richard Strauss,1895,Till Eulenspiegels lustige Streiche,tonal poem,1899-1900,Karel van Walle,NL
426,1897-1900 Nederlandsch Lyrisch Tooneel. Programma's_00331-20211201_153039.jpg,1897-1900,Quinten Massijs,1900-02-27,,False,750610,Quinten Massijs,NL,Emile Wambach,1899,Quinten Massys,lyrisch drama,1899-1900,Karel van Walle,Unk
427,1897-1900 Nederlandsch Lyrisch Tooneel. Programma's_00333-20211201_153056.jpg,1897-1900,Tannhauser,1900-03-01,Feestavond,False,825903,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1899-1900,Karel van Walle,Unk
428,1897-1900 Nederlandsch Lyrisch Tooneel. Programma's_00335-20211201_153114.jpg,1897-1900,De Koningin van Saba,1900-03-03,gala,False,787520,De Koningin van Saba,DUI,Carl Goldmark,1875,Die Königin von Saba,zangspel,1899-1900,Karel van Walle,NL
429,1897-1900 Nederlandsch Lyrisch Tooneel. Programma's_00337-20211201_153128.jpg,1897-1900,Cleopatra,1900-03-04,Buitengewone vertoning inden Cirkschouwburg,False,335987,Cleopatra,DEE,August Enna,1894,Cleopatra,opera seria,1899-1900,Karel van Walle,Unk
430,1897-1900 Nederlandsch Lyrisch Tooneel. Programma's_00339-20211201_153141.jpg,1897-1900,De Koningin van Saba,1900-03-06,Feestavond,False,162832,De Koningin van Saba,DUI,Carl Goldmark,1875,Die Königin von Saba,zangspel,1899-1900,Karel van Walle,NL
431,1897-1900 Nederlandsch Lyrisch Tooneel. Programma's_00341-20211201_153158.jpg,1897-1900,De Koningin van Saba,1900-03-10,gala,False,486187,De Koningin van Saba,DUI,Carl Goldmark,1875,Die Königin von Saba,zangspel,1899-1900,Karel van Walle,NL
432,1897-1900 Nederlandsch Lyrisch Tooneel. Programma's_00341-20211201_153158.jpg,1897-1900,De Koningin van Saba,1900-03-13,gala,False,580297,De Koningin van Saba,DUI,Carl Goldmark,1875,Die Königin von Saba,zangspel,1899-1900,Karel van Walle,NL
433,1897-1900 Nederlandsch Lyrisch Tooneel. Programma's_00343-20211201_153214.jpg,1897-1900,Thijl Uilenspiegel,1900-03-15,Feestavond,False,446274,Thijl Uilenspiegel,DUI,Richard Strauss,1895,Till Eulenspiegels lustige Streiche,tonal poem,1899-1900,Karel van Walle,NL
434,1897-1900 Nederlandsch Lyrisch Tooneel. Programma's_00345-20211201_153228.jpg,1897-1900,Ondine,1900-03-17,eerste opvoering,False,272262,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1899-1900,Karel van Walle,Unk
435,1897-1900 Nederlandsch Lyrisch Tooneel. Programma's_00347-20211201_153246.jpg,1897-1900,Herbergprinses,1900-03-20,Feestavond,False,134843,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1899-1900,Karel van Walle,NL
436,1897-1900 Nederlandsch Lyrisch Tooneel. Programma's_00351-20211201_153317.jpg,1897-1900,Quinten Massijs,1900-03-27,Feestavond,False,855404,Quinten Massijs,NL,Emile Wambach,1899,Quinten Massys,lyrisch drama,1899-1900,Karel van Walle,Unk
437,1897-1900 Nederlandsch Lyrisch Tooneel. Programma's_00351-20211201_153317.jpg,1897-1900,De Koningin van Saba,1900-03-27,Feestavond,False,640807,De Koningin van Saba,DUI,Carl Goldmark,1875,Die Königin von Saba,zangspel,1899-1900,Karel van Walle,NL
438,1897-1900 Nederlandsch Lyrisch Tooneel. Programma's_00353-20211201_153333.jpg,1897-1900,Thijl Uilenspiegel,1900-03-31,Feestavond,False,437921,Thijl Uilenspiegel,DUI,Richard Strauss,1895,Till Eulenspiegels lustige Streiche,tonal poem,1899-1900,Karel van Walle,NL
439,1897-1900 Nederlandsch Lyrisch Tooneel. Programma's_00355-20211201_153345.jpg,1897-1900,Quinten Massijs,1900-04-03,,False,295999,Quinten Massijs,NL,Emile Wambach,1899,Quinten Massys,lyrisch drama,1899-1900,Karel van Walle,Unk
440,1897-1900 Nederlandsch Lyrisch Tooneel. Programma's_00357-20211201_153404.jpg,1897-1900,Druon Antigoon,1900-04-07,gala,False,111123,Druon Antigoon,NL,Britt Ernest,1900,Druon Antigoon,zangspel,1899-1900,Karel van Walle,Unk
441,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00017-20211201_154501.jpg,1900-1901,Lohengrin,1900-10-02,,False,295362,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,1900-1901,Karel van Walle,Unk
442,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00019-20211201_154525.jpg,1900-1901,Lohengrin,1900-10-04,,False,854937,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,1900-1901,Karel van Walle,Unk
443,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00021-20211201_154547.jpg,1900-1901,Ondine,1900-10-06,,False,960233,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1900-1901,Karel van Walle,Unk
444,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00023-20211201_154622.jpg,1900-1901,Quinten Metsys,1900-10-09,gala,False,990230,Quinten Massijs,NL,Emile Wambach,1899,Quinten Massys,lyrisch drama,1900-1901,Karel van Walle,Unk
445,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00025-20211201_154645.jpg,1900-1901,Jozef in Egypte,1900-10-13,,False,195602,Jozef in Egypte,FR,Etienne Nicolas Méhul,1807,Joseph,grand opera,1900-1901,Karel van Walle,NL
446,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00027-20211201_154713.jpg,1900-1901,Jozef in Egypte,1900-10-16,,False,274401,Jozef in Egypte,FR,Etienne Nicolas Méhul,1807,Joseph,grand opera,1900-1901,Karel van Walle,NL
447,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00029-20211201_154736.jpg,1900-1901,Meester Roland,1900-10-20,gala,False,403790,Meester Roland,?,Géza Zichy,1899,Roland Mester,zangspel,1900-1901,Karel van Walle,NL
448,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00031-20211201_154801.jpg,1900-1901,Meester Roland,1900-10-23,,False,147382,Meester Roland,?,Géza Zichy,1899,Roland Mester,zangspel,1900-1901,Karel van Walle,NL
449,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00033-20211201_154822.jpg,1900-1901,Meester Roland,1900-10-25,,False,748071,Meester Roland,?,Géza Zichy,1899,Roland Mester,zangspel,1900-1901,Karel van Walle,NL
450,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00034-20211201_154839.jpg,1900-1901,Meester Roland,1900-10-27,,False,117482,Meester Roland,?,Géza Zichy,1899,Roland Mester,zangspel,1900-1901,Karel van Walle,NL
451,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00035-20211201_154849.jpg,1900-1901,Ondine,1900-10-28,,False,322167,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1900-1901,Karel van Walle,Unk
452,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00037-20211201_154913.jpg,1900-1901,Jozef in Egypte,1900-10-30,,False,463187,Jozef in Egypte,FR,Etienne Nicolas Méhul,1807,Joseph,grand opera,1900-1901,Karel van Walle,NL
453,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00039-20211201_154934.jpg,1900-1901,Meester Roland,1900-11-01,,False,657123,Meester Roland,?,Géza Zichy,1899,Roland Mester,zangspel,1900-1901,Karel van Walle,NL
454,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00039-20211201_154934.jpg,1900-1901,Ondine,1900-11-01,,False,718796,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1900-1901,Karel van Walle,Unk
455,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00041-20211201_154957.jpg,1900-1901,Jozef in Egypte,1900-11-03,,False,330016,Jozef in Egypte,FR,Etienne Nicolas Méhul,1807,Joseph,grand opera,1900-1901,Karel van Walle,NL
456,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00041-20211201_154957.jpg,1900-1901,Meester Roland,1900-11-03,,False,854780,Meester Roland,?,Géza Zichy,1899,Roland Mester,zangspel,1900-1901,Karel van Walle,NL
457,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00041-20211201_154957.jpg,1900-1901,Jozef in Egypte,1900-11-06,,False,798967,Jozef in Egypte,FR,Etienne Nicolas Méhul,1807,Joseph,grand opera,1900-1901,Karel van Walle,NL
458,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00041-20211201_154957.jpg,1900-1901,Meester Roland,1900-11-06,,False,299651,Meester Roland,?,Géza Zichy,1899,Roland Mester,zangspel,1900-1901,Karel van Walle,NL
459,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00045-20211201_155220.jpg,1900-1901,Jozef in Egypte,1900-11-10,,False,862915,Jozef in Egypte,FR,Etienne Nicolas Méhul,1807,Joseph,grand opera,1900-1901,Karel van Walle,NL
460,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00047-20211201_155322.jpg,1900-1901,Jozef in Egypte,1900-11-11,,False,628710,Jozef in Egypte,FR,Etienne Nicolas Méhul,1807,Joseph,grand opera,1900-1901,Karel van Walle,NL
461,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00051-20211201_155420.jpg,1900-1901,De Vliegende Hollander,1900-11-13,,False,426957,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1900-1901,Karel van Walle,NL
462,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00053-20211201_155439.jpg,1900-1901,Quinten Massijs,1900-11-17,,False,854343,Quinten Massijs,NL,Emile Wambach,1899,Quinten Massys,lyrisch drama,1900-1901,Karel van Walle,Unk
463,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00055-20211201_155501.jpg,1900-1901,Quinten Massijs,1900-11-20,,False,152954,Quinten Massijs,NL,Emile Wambach,1899,Quinten Massys,lyrisch drama,1900-1901,Karel van Walle,Unk
464,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00055-20211201_155501.jpg,1900-1901,Het Minnebrugsken,1900-11-20,,False,687026,Het Minnebrugje,NL,Arthur Van Oost,?,Het Minnebrugje,zangspel,1900-1901,Karel van Walle,NL
465,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00057-20211201_155521.jpg,1900-1901,De Vliegende Hollander,1900-11-24,,False,296871,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1900-1901,Karel van Walle,NL
466,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00059-20211201_155540.jpg,1900-1901,Meester Roland,1900-11-24,,False,661281,Meester Roland,?,Géza Zichy,1899,Roland Mester,zangspel,1900-1901,Karel van Walle,NL
467,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00061-20211201_155559.jpg,1900-1901,Jozef in Egypte,1900-11-27,,False,526464,Jozef in Egypte,FR,Etienne Nicolas Méhul,1807,Joseph,grand opera,1900-1901,Karel van Walle,NL
468,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00061-20211201_155559.jpg,1900-1901,Het Minnebrugsken,1900-11-27,,False,282246,Het Minnebrugje,NL,Arthur Van Oost,?,Het Minnebrugje,zangspel,1900-1901,Karel van Walle,NL
469,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00063-20211201_155613.jpg,1900-1901,Meester Roland,1900-12-01,,False,256736,Meester Roland,?,Géza Zichy,1899,Roland Mester,zangspel,1900-1901,Karel van Walle,NL
470,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00065-20211201_155631.jpg,1900-1901,Figaro's Bruiloft,1900-12-04,gala,False,131459,Figaro's Bruiloft,ITA,Wolfgang Amadeus Mozart,1786,Le nozze di Figaro,oepra buffa,1900-1901,Karel van Walle,NL
471,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00067-20211201_155646.jpg,1900-1901,Figaro's Bruiloft,1900-12-08,gala,False,126975,Figaro's Bruiloft,ITA,Wolfgang Amadeus Mozart,1786,Le nozze di Figaro,oepra buffa,1900-1901,Karel van Walle,NL
472,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00069-20211201_155704.jpg,1900-1901,Figaro's Bruiloft,1900-12-11,,False,529425,Figaro's Bruiloft,ITA,Wolfgang Amadeus Mozart,1786,Le nozze di Figaro,oepra buffa,1900-1901,Karel van Walle,NL
473,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00071-20211201_155725.jpg,1900-1901,Figaro's Bruiloft,1900-12-15,,False,668941,Figaro's Bruiloft,ITA,Wolfgang Amadeus Mozart,1786,Le nozze di Figaro,oepra buffa,1900-1901,Karel van Walle,NL
474,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00073-20211201_155743.jpg,1900-1901,Figaro's Bruiloft,1900-12-18,,False,389085,Figaro's Bruiloft,ITA,Wolfgang Amadeus Mozart,1786,Le nozze di Figaro,oepra buffa,1900-1901,Karel van Walle,NL
475,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00075-20211201_155806.jpg,1900-1901,Figaro's Bruiloft,1900-12-25,Ter gelegenheid van Kerstmis,False,601570,Figaro's Bruiloft,ITA,Wolfgang Amadeus Mozart,1786,Le nozze di Figaro,oepra buffa,1900-1901,Karel van Walle,NL
476,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00077-20211201_155827.jpg,1900-1901,Quinten Massijs,1900-12-22,,False,883700,Quinten Massijs,NL,Emile Wambach,1899,Quinten Massys,lyrisch drama,1900-1901,Karel van Walle,Unk
477,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00079-20211201_155843.jpg,1900-1901,Figaro's Bruiloft,1900-12-29,,False,602260,Figaro's Bruiloft,ITA,Wolfgang Amadeus Mozart,1786,Le nozze di Figaro,oepra buffa,1900-1901,Karel van Walle,NL
478,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00081-20211201_155906.jpg,1900-1901,Ondine,1901-01-01,Ter gelegenheid van Nieuwjaar,False,599769,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1900-1901,Karel van Walle,Unk
479,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00083-20211201_155926.jpg,1900-1901,De Verkochte Bruid,1901-01-05,gala,False,774852,De Verkochte Bruid,TSJ,Bedřich	Smetana,1866,The Bartered Bride,czech national opera,1900-1901,Karel van Walle,NL
480,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00085-20211201_155945.jpg,1900-1901,De Verkochte Bruid,1901-01-08,,False,684465,De Verkochte Bruid,TSJ,Bedřich	Smetana,1866,The Bartered Bride,czech national opera,1900-1901,Karel van Walle,NL
481,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00087-20211201_160033.jpg,1900-1901,Jozef in Egypte,1901-01-12,,False,856314,Jozef in Egypte,FR,Etienne Nicolas Méhul,1807,Joseph,grand opera,1900-1901,Karel van Walle,NL
482,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00089-20211201_160055.jpg,1900-1901,De Verkochte Bruid,1901-01-15,,False,549519,De Verkochte Bruid,TSJ,Bedřich	Smetana,1866,The Bartered Bride,czech national opera,1900-1901,Karel van Walle,NL
483,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00091-20211201_160112.jpg,1900-1901,Figaro's Bruiloft,1901-01-17,Feestavond,False,914545,Figaro's Bruiloft,ITA,Wolfgang Amadeus Mozart,1786,Le nozze di Figaro,oepra buffa,1900-1901,Karel van Walle,NL
484,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00093-20211201_160128.jpg,1900-1901,Meester Roland,1901-01-19,,False,413443,Meester Roland,?,Géza Zichy,1899,Roland Mester,zangspel,1900-1901,Karel van Walle,NL
485,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00095-20211201_160147.jpg,1900-1901,Theroigne de Mericout,1901-01-22,,False,279302,Theroigne de Mericout,NL,August De Boeck,?,Théroigne de Méricout,?,1900-1901,Karel van Walle,Unk
486,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00095-20211201_160147.jpg,1900-1901,Jose Maria,1901-01-22,,False,113690,Jean-Marie,?,W. Verbeeck,?,Jean-Marie,drama,1900-1901,Karel van Walle,Unk
487,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00097-20211201_160205.jpg,1900-1901,Theroigne de Mericout,1901-01-26,,False,244424,Theroigne de Mericout,NL,August De Boeck,?,Théroigne de Méricout,?,1900-1901,Karel van Walle,Unk
488,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00097-20211201_160205.jpg,1900-1901,Jose Maria,1901-01-26,,False,473637,Jean-Marie,?,W. Verbeeck,?,Jean-Marie,drama,1900-1901,Karel van Walle,Unk
489,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00099-20211201_160223.jpg,1900-1901,Lohengrin,1901-01-26,,False,664179,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,1900-1901,Karel van Walle,Unk
490,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00099-20211201_160223.jpg,1900-1901,Het Minnebrugsken,1901-01-26,,False,106701,Het Minnebrugje,NL,Arthur Van Oost,?,Het Minnebrugje,zangspel,1900-1901,Karel van Walle,NL
491,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00101-20211201_160246.jpg,1900-1901,Figaro's Bruiloft,1901-01-31,Feestavond,False,412789,Figaro's Bruiloft,ITA,Wolfgang Amadeus Mozart,1786,Le nozze di Figaro,oepra buffa,1900-1901,Karel van Walle,NL
492,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00103-20211201_160308.jpg,1900-1901,Bastien en Bastienne,1901-02-02,,False,707100,Bastien en Bastienne,DUI,Wolfgang Amadeus Mozart,1768,Bastien und Bastienne,zangspel,1900-1901,Karel van Walle,NL
493,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00103-20211201_160308.jpg,1900-1901,Theroigne de Mericout,1901-02-02,,False,298070,Theroigne de Mericout,NL,August De Boeck,?,Théroigne de Méricout,?,1900-1901,Karel van Walle,Unk
494,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00105-20211201_160328.jpg,1900-1901,Figaro's Bruiloft,1901-02-27,,False,743583,Figaro's Bruiloft,ITA,Wolfgang Amadeus Mozart,1786,Le nozze di Figaro,oepra buffa,1900-1901,Karel van Walle,NL
495,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00107-20211201_160357.jpg,1900-1901,Bastien en Bastienne,1901-02-09,,False,832391,Bastien en Bastienne,DUI,Wolfgang Amadeus Mozart,1768,Bastien und Bastienne,zangspel,1900-1901,Karel van Walle,NL
496,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00107-20211201_160357.jpg,1900-1901,Theroigne de Mericout,1901-02-09,,False,616525,Theroigne de Mericout,NL,August De Boeck,?,Théroigne de Méricout,?,1900-1901,Karel van Walle,Unk
497,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00109-20211201_160447.jpg,1900-1901,Bastien en Bastienne,1901-02-05,,False,785492,Bastien en Bastienne,DUI,Wolfgang Amadeus Mozart,1768,Bastien und Bastienne,zangspel,1900-1901,Karel van Walle,NL
498,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00109-20211201_160447.jpg,1900-1901,Theroigne de Mericout,1901-02-05,,False,649298,Theroigne de Mericout,NL,August De Boeck,?,Théroigne de Méricout,?,1900-1901,Karel van Walle,Unk
499,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00109-20211201_160447.jpg,1900-1901,Jose Maria,1901-02-05,,False,283158,Jean-Marie,?,W. Verbeeck,?,Jean-Marie,drama,1900-1901,Karel van Walle,Unk
500,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00111-20211201_160511.jpg,1900-1901,Jose Maria,1901-02-12,Feestavond,False,319329,Jean-Marie,?,W. Verbeeck,?,Jean-Marie,drama,1900-1901,Karel van Walle,Unk
501,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00111-20211201_160511.jpg,1900-1901,Theroigne De Mericourt,1901-02-12,Feestavond,False,621402,Theroigne de Mericout,NL,August De Boeck,?,Théroigne de Méricout,?,1900-1901,Karel van Walle,Unk
502,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00111-20211201_160511.jpg,1900-1901,Het Minnebrugje,1901-02-12,Feestavond,False,244475,Het Minnebrugje,NL,Arthur Van Oost,?,Het Minnebrugje,zangspel,1900-1901,Karel van Walle,NL
503,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00113-20211201_160553.jpg,1900-1901,Theroigne de Mericout,1901-02-16,gala ter gelegenheid van 10 jarig bestaan van het Nederlandsch Lyrisch Tooneel,False,888314,Theroigne de Mericout,NL,August De Boeck,?,Théroigne de Méricout,?,1900-1901,Karel van Walle,Unk
504,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00113-20211201_160553.jpg,1900-1901,Het Minnebrugje,1901-02-16,gala ter gelegenheid van 10 jarig bestaan van het Nederlandsch Lyrisch Tooneel,False,904175,Het Minnebrugje,NL,Arthur Van Oost,?,Het Minnebrugje,zangspel,1900-1901,Karel van Walle,NL
505,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00113-20211201_160553.jpg,1900-1901,Quinten Massijs,1901-02-16,gala ter gelegenheid van 10 jarig bestaan van het Nederlandsch Lyrisch Tooneel,False,727060,Quinten Massijs,NL,Emile Wambach,1899,Quinten Massys,lyrisch drama,1900-1901,Karel van Walle,Unk
506,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00113-20211201_160553.jpg,1900-1901,Jose Maria,1901-02-16,gala ter gelegenheid van 10 jarig bestaan van het Nederlandsch Lyrisch Tooneel,False,256756,Jean-Marie,?,W. Verbeeck,?,Jean-Marie,drama,1900-1901,Karel van Walle,Unk
507,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00115-20211201_160832.jpg,1900-1901,Quinten Massijs,1901-02-19,Ter gelegenheid van carnaval,False,734340,Quinten Massijs,NL,Emile Wambach,1899,Quinten Massys,lyrisch drama,1900-1901,Karel van Walle,Unk
508,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00115-20211201_160832.jpg,1900-1901,Jose Maria,1901-02-19,Ter gelegenheid van carnaval,False,135531,Jean-Marie,?,W. Verbeeck,?,Jean-Marie,drama,1900-1901,Karel van Walle,Unk
509,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00117-20211201_160848.jpg,1900-1901,Herbergprinses,1901-02-23,,False,847424,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1900-1901,Karel van Walle,NL
510,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00119-20211201_160904.jpg,1900-1901,Figaro's Bruiloft,1901-02-26,,False,444477,Figaro's Bruiloft,ITA,Wolfgang Amadeus Mozart,1786,Le nozze di Figaro,oepra buffa,1900-1901,Karel van Walle,NL
511,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00121-20211201_161012.jpg,1900-1901,Herbergprinses,1901-03-02,,False,338220,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1900-1901,Karel van Walle,NL
512,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00123-20211201_161036.jpg,1900-1901,Het Schutterfeest,1901-03-05,,False,156972,Het Schutterfeest,NL,ALbert Stordiau,1898,Het Schuttershof,zangspel,1900-1901,Karel van Walle,NL
513,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00123-20211201_161036.jpg,1900-1901,Bastien en Bastienne,1901-03-05,,False,105629,Bastien en Bastienne,DUI,Wolfgang Amadeus Mozart,1768,Bastien und Bastienne,zangspel,1900-1901,Karel van Walle,NL
514,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00125-20211201_161130.jpg,1900-1901,Bastien en Bastienne,1901-03-12,Ter nagedachtenis van den betreurden meester Peter Benoit,False,140695,Bastien en Bastienne,DUI,Wolfgang Amadeus Mozart,1768,Bastien und Bastienne,zangspel,1900-1901,Karel van Walle,NL
515,1900-1901 nederlandsch Lyrisch Tooneel Programma's _00125-20211201_161130.jpg,1900-1901,Theroigne de Mericoux,1901-03-12,Ter nagedachtenis van den betreurden meester Peter Benoit,False,757253,Theroigne de Mericout,NL,August De Boeck,?,Théroigne de Méricout,?,1900-1901,Karel van Walle,Unk
