Image,Collection,Production,Date,Occasion,Multiple bill,Performances_ID,Normalised title,Original language,Composer,Original premiere,Original title,genre,Season,Directors
K.V.O. programmas 1893-97_00005-20211201_113354.jpg,1893-1897,De Vrijschutter,1893-10-03,Eerste vertoning,FALSE,466791,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00009-20211201_113438.jpg,1893-1897,Willem Tell,1893-10-05,Eerste vertoning,FALSE,445919,Willem Tell,DUI,Carl Reinecke,1971,Musik zu Schiller's Wilhelm Tell,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00011-20211201_113452.jpg,1893-1897,De Vrijschutter,1893-10-10,,FALSE,845496,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00013-20211201_113512.jpg,1893-1897,Willem Tell,1893-10-12,,FALSE,205093,Willem Tell,DUI,Carl Reinecke,1971,Musik zu Schiller's Wilhelm Tell,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00015-20211201_113528.jpg,1893-1897,Charlotte Corday,1893-11-16,,FALSE,854224,Charlotte Corday,NL,Peter Benoit,?,Charlotte Corday,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00017-20211201_113547.jpg,1893-1897,De Vrijschutter,1893-10-17,,FALSE,905656,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00019-20211201_113606.jpg,1893-1897,Charlotte Corday,1893-10-19,,FALSE,958621,Charlotte Corday,NL,Peter Benoit,?,Charlotte Corday,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00023-20211201_113639.jpg,1893-1897,De Vrijschutter,1893-10-24,,FALSE,147318,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00025-20211201_113654.jpg,1893-1897,Charlotte Corday,1893-10-26,,FALSE,204874,Charlotte Corday,NL,Peter Benoit,?,Charlotte Corday,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00027-20211201_113712.jpg,1893-1897,De Vrijschutter,1893-10-31,,FALSE,395075,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00029-20211201_113749.jpg,1893-1897,Parisina,1893-11-02,,FALSE,507518,Parisina,NL,Edward Keurvels,1887,Parisina,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00033-20211201_113824.jpg,1893-1897,De Vrijschutter,1893-11-07,,FALSE,392522,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00035-20211201_113845.jpg,1893-1897,Parisina,1893-11-09,,FALSE,417443,Parisina,NL,Edward Keurvels,1887,Parisina,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00037-20211201_113904.jpg,1893-1897,Leiden Ontzet,1893-11-14,,FALSE,959498,Leiden Ontzet,NL,Cis Van der Linden,1894,Leiden Ontzet,zangspel,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00039-20211201_113923.jpg,1893-1897,Leiden Ontzet,1893-11-21,,FALSE,824914,Leiden Ontzet,NL,Cis Van der Linden,1894,Leiden Ontzet,zangspel,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00041-20211201_113947.jpg,1893-1897,Preciosa,1893-11-23,,FALSE,225830,Preciosa,DUI,Carl Maria von Weber,1821,Preciosa,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00045-20211201_114017.jpg,1893-1897,Preciosa,1893-11-30,,FALSE,355793,Preciosa,DUI,Carl Maria von Weber,1821,Preciosa,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00047-20211201_114041.jpg,1893-1897,Leiden Ontzet,1893-12-05,,FALSE,383413,Leiden Ontzet,NL,Cis Van der Linden,1894,Leiden Ontzet,zangspel,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00049-20211201_114057.jpg,1893-1897,Leiden Ontzet,1893-12-12,,FALSE,129054,Leiden Ontzet,NL,Cis Van der Linden,1894,Leiden Ontzet,zangspel,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00051-20211201_114113.jpg,1893-1897,Pelops,1893-12-14,,FALSE,201359,Pelops,TSJ,Fibich Zdenik,1890,Nàmluvy Pelopovy,romantic opera,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00053-20211201_114128.jpg,1893-1897,De Vrijschutter,1893-12-19,,FALSE,647909,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00055-20211201_114154.jpg,1893-1897,Tantalus,1893-12-21,Eerste vertoning,FALSE,596789,Tantalus,TSJ,Zdenik Fibich,1890,Smir Tantaluv,?,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00057-20211201_114218.jpg,1893-1897,Liederik,1893-12-26,Eerste vertoning,FALSE,139699,Liederik,NL,Joseph Mertens,1875,Liederik de rentmeester,zangspel,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00059-20211201_114236.jpg,1893-1897,Tantalus,1893-12-28,,FALSE,614160,Tantalus,TSJ,Zdenik Fibich,1890,Smir Tantaluv,?,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00061-20211201_114252.jpg,1893-1897,Liederik,1894-01-02,,FALSE,304363,Liederik,NL,Joseph Mertens,1875,Liederik de rentmeester,zangspel,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00063-20211201_114312.jpg,1893-1897,Tantalus,1894-01-04,,FALSE,616259,Tantalus,TSJ,Zdenik Fibich,1890,Smir Tantaluv,?,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00065-20211201_114329.jpg,1893-1897,Liederik,1894-01-09,,TRUE,147048,Liederik,NL,Joseph Mertens,1875,Liederik de rentmeester,zangspel,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00065-20211201_114329.jpg,1893-1897,Concert van nationale werken,1894-01-09,,TRUE,147048,Concert van nationale werken,?,?,?,?,concert,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00069-20211201_114407.jpg,1893-1897,Tantalus,1894-01-11,,FALSE,973634,Tantalus,TSJ,Zdenik Fibich,1890,Smir Tantaluv,?,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00071-20211201_114425.jpg,1893-1897,De Vrijschutter,1894-01-16,Buitengewone vertoning ter Benifice van M. Lod. Leysen,FALSE,274919,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00073-20211201_114447.jpg,1893-1897,Pelops,1894-01-18,,FALSE,960380,Pelops,TSJ,Fibich Zdenik,1890,Nàmluvy Pelopovy,romantic opera,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00075-20211201_114513.jpg,1893-1897,Liederik,1894-01-23,,FALSE,958984,Liederik,NL,Joseph Mertens,1875,Liederik de rentmeester,zangspel,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00079-20211201_114550.jpg,1893-1897,Tantalus,1894-01-25,,FALSE,535174,Tantalus,TSJ,Zdenik Fibich,1890,Smir Tantaluv,?,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00081-20211201_114641.jpg,1893-1897,De Vliegende Hollander,1894-02-01,Eerste vertoning,FALSE,888402,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00083-20211201_114701.jpg,1893-1897,De Vliegende Hollander,1894-02-06,,FALSE,566488,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00083-20211201_114701.jpg,1893-1897,De Vliegende Hollander,1894-02-08,,FALSE,439743,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00085-20211201_114719.jpg,1893-1897,De Vrijschutter,1894-02-13,Ter benificie van Mej. Maria Levering,FALSE,820796,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00087-20211201_114747.jpg,1893-1897,De Vliegende Hollander,1894-02-15,,FALSE,464522,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00091-20211201_114827.jpg,1893-1897,Mellusina,1894-02-23,Eerste vertoning,FALSE,540010,Mellusina,NL,Emiel Wambach,?,Mellusina. Een Lentedroom,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00093-20211201_114845.jpg,1893-1897,De Vliegende Hollander,1894-02-27,Ter benificie van Albert Baets,FALSE,124898,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00095-20211201_114902.jpg,1893-1897,Mellusina,1894-03-01,,FALSE,820711,Mellusina,NL,Emiel Wambach,?,Mellusina. Een Lentedroom,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00097-20211201_114923.jpg,1893-1897,Mellusina,1894-03-06,,FALSE,311603,Mellusina,NL,Emiel Wambach,?,Mellusina. Een Lentedroom,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00097-20211201_114923.jpg,1893-1897,Mellusina,1894-03-08,,FALSE,107561,Mellusina,NL,Emiel Wambach,?,Mellusina. Een Lentedroom,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00099-20211201_114946.jpg,1893-1897,De Vliegende Hollander,1894-03-13,Gala-vertoning,FALSE,863635,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00101-20211201_115002.jpg,1893-1897,Mellusina,1894-03-15,,FALSE,848847,Mellusina,NL,Emiel Wambach,?,Mellusina. Een Lentedroom,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00103-20211201_115027.jpg,1893-1897,De Vliegende Hollander,1894-03-17,,FALSE,622351,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00105-20211201_115046.jpg,1893-1897,De Vliegende Hollander,1894-03-20,,FALSE,106133,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00107-20211201_115104.jpg,1893-1897,De Vrijschutter,1894-03-27,Ter benifice van Mej. Safir,FALSE,943996,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00109-20211201_115132.jpg,1893-1897,Het Meilief,1894-03-29,Eerste vertoning,FALSE,537729,Het Meilief,NL,Peter Benoit,1893,Het Meilief,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00111-20211201_115200.jpg,1893-1897,Het Meilief,1894-04-03,,FALSE,564433,Het Meilief,NL,Peter Benoit,1893,Het Meilief,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00111-20211201_115200.jpg,1893-1897,Het Meilief,1894-04-05,,FALSE,364826,Het Meilief,NL,Peter Benoit,1893,Het Meilief,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00113-20211201_115221.jpg,1893-1897,De Vliegende Hollander,1894-04-14,,FALSE,359829,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00115-20211201_115246.jpg,1893-1897,Het Meilief,1894-04-19,,FALSE,506326,Het Meilief,NL,Peter Benoit,1893,Het Meilief,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00117-20211201_115308.jpg,1893-1897,De Vrijschutter,1894-04-21,,FALSE,243349,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00119-20211201_115324.jpg,1893-1897,De Vliegende Hollander,1894-04-24,,FALSE,625906,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00121-20211201_115347.jpg,1893-1897,Euryanthe,1894-10-06,Openingsvertoning,FALSE,694796,Euryanthe,DUI,Carl Maria von Weber,1823,Euryanthe,romantisch zangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00121-20211201_115347.jpg,1893-1897,Euryanthe,1894-10-09,,FALSE,937893,Euryanthe,DUI,Carl Maria von Weber,1823,Euryanthe,romantisch zangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00123-20211201_115431.jpg,1893-1897,Czaar en Timmerman,1894-10-13,,FALSE,387284,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00125-20211201_115453.jpg,1893-1897,Czaar en Timmerman,1894-10-16,,FALSE,735940,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00127-20211201_115516.jpg,1893-1897,Euryanthe,1894-10-20,,FALSE,733746,Euryanthe,DUI,Carl Maria von Weber,1823,Euryanthe,romantisch zangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00129-20211201_115540.jpg,1893-1897,Czaar en Timmerman,1894-10-23,,FALSE,270957,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00129-20211201_115540.jpg,1893-1897,Czaar en Timmerman,1894-10-27,,FALSE,993817,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00131-20211201_115608.jpg,1893-1897,De Vrijschutter,1894-10-30,,FALSE,390986,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00133-20211201_115740.jpg,1893-1897,Czaar en Timmerman,1894-11-03,,FALSE,139537,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00135-20211201_115803.jpg,1893-1897,De Vliegende Hollander,1894-11-06,,FALSE,918351,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00137-20211201_115828.jpg,1893-1897,De Vliegende Hollander,1894-11-10,,FALSE,534481,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00139-20211201_115851.jpg,1893-1897,Preciosa,1894-11-13,,FALSE,363168,Preciosa,DUI,Carl Maria von Weber,1821,Preciosa,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00141-20211201_115909.jpg,1893-1897,De Vliegende Hollander,1894-11-17,,FALSE,215102,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00143-20211201_115929.jpg,1893-1897,Bergliot,1894-11-20,,FALSE,301663,Bergliot,NOR,Edvard Grieg,?,Bergliot,lyrisch drama,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00147-20211201_120006.jpg,1893-1897,Czaar en Timmerman,1894-11-24,gala-vertoning,FALSE,677912,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00151-20211201_120129.jpg,1893-1897,Ondine,1894-12-04,Eerste vertoning,FALSE,642995,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00153-20211201_120142.jpg,1893-1897,De Vliegende Hollander,1894-12-01,gala-vertoning,FALSE,181436,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00155-20211201_120207.jpg,1893-1897,De Vliegende Hollander,1894-12-07,,FALSE,801227,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00157-20211201_120230.jpg,1893-1897,Ondine,1894-12-08,,FALSE,436591,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00159-20211201_120249.jpg,1893-1897,Ondine,1894-12-11,,FALSE,857689,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00161-20211201_120327.jpg,1893-1897,Ondine,1894-12-15,Gala-vertoning,FALSE,512487,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00163-20211201_120347.jpg,1893-1897,Czaar en Timmerman,1894-12-26,,FALSE,774376,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00165-20211201_120410.jpg,1893-1897,Jeanne D'Arc,1894-12-18,,FALSE,807125,Jeanne D'Arc,FR,Charles Gounod,1873,Jeanne d'Arc,tragédie lyrique,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00167-20211201_120433.jpg,1893-1897,Ondine,1894-12-22,,FALSE,591669,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00169-20211201_120453.jpg,1893-1897,Ondine,1894-12-25,,FALSE,512471,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00171-20211201_120547.jpg,1893-1897,Czaar en Timmerman,1894-12-29,,FALSE,700395,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00173-20211201_120608.jpg,1893-1897,Ondine,1895-01-02,,FALSE,359540,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00175-20211201_120633.jpg,1893-1897,De Vliegende Hollander,1895-01-02,Volgens de nota van Verbruggen is deze voorstelling afgelast,FALSE,257784,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00177-20211201_120703.jpg,1893-1897,De Vliegende Hollander,1895-01-05,,FALSE,105270,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00179-20211201_120722.jpg,1893-1897,Ondine,1895-08-01,,FALSE,966517,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00181-20211201_120753.jpg,1893-1897,Ondine,1895-01-12,,FALSE,828688,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00183-20211201_120821.jpg,1893-1897,Ondine,1895-01-15,,FALSE,104358,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00183-20211201_120821.jpg,1893-1897,Ondine,1895-01-19,,FALSE,888275,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00185-20211201_120840.jpg,1893-1897,Czaar en Timmerman,1895-01-22,Feestavond,FALSE,702840,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00187-20211201_121011.jpg,1893-1897,Tannhauser,1895-01-26,,FALSE,322546,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00193-20211201_121111.jpg,1893-1897,Tannhauser,1895-01-29,,FALSE,150225,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00195-20211201_121132.jpg,1893-1897,Tannhauser,1895-02-02,Volgens de nota van Verbruggen is deze voorstelling vervangen door De Vliegende Hollander,FALSE,579506,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00197-20211201_121200.jpg,1893-1897,Ondine,1895-02-05,,FALSE,474312,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00199-20211201_121247.jpg,1893-1897,Tannhauser,1895-02-09,,FALSE,863888,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00203-20211201_121340.jpg,1893-1897,Ondine,1895-02-12,,FALSE,833967,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00205-20211201_121359.jpg,1893-1897,Tannhauser,1895-02-16,,FALSE,330426,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00207-20211201_121435.jpg,1893-1897,Zriny,1895-02-19,Eerste vertoning,FALSE,622373,Zriny,NL,Albert De Vleeshouwer,?,?,lyrisch treurspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00211-20211201_121513.jpg,1893-1897,Ondine,1895-02-26,,FALSE,212311,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00213-20211201_121634.jpg,1893-1897,Zriny,1895-03-02,,FALSE,377576,Zriny,NL,Albert De Vleeshouwer,?,?,lyrisch treurspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00215-20211201_121653.jpg,1893-1897,De Vrijschutter,1895-03-05,Feestavond,TRUE,690576,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00215-20211201_121653.jpg,1893-1897,Euryanthe,1895-03-05,Feestavond,TRUE,690576,Euryanthe,DUI,Carl Maria von Weber,1823,Euryanthe,romantisch zangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00215-20211201_121653.jpg,1893-1897,Ondine,1895-03-05,Feestavond,TRUE,690576,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00218-20211201_121758.jpg,1893-1897,Zriny,1895-03-12,,FALSE,411812,Zriny,NL,Albert De Vleeshouwer,?,?,lyrisch treurspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00220-20211201_121818.jpg,1893-1897,Czaar en Timmerman,1895-03-16,,FALSE,297486,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00222-20211201_121836.jpg,1893-1897,Ondine,1895-03-19,Feestavond,FALSE,518595,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00224-20211201_121854.jpg,1893-1897,Fidelio,1895-03-23,Eerste vertoning,FALSE,272085,Fidelio,DUI,Ludwig van Beethoven,1805,Fidelio,rettungsoper,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00228-20211201_121953.jpg,1893-1897,Czaar en Timmerman,1895-03-30,,FALSE,217531,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00230-20211201_122011.jpg,1893-1897,Fidelio,1895-04-02,Feestavond,FALSE,819563,Fidelio,DUI,Ludwig van Beethoven,1805,Fidelio,rettungsoper,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00236-20211201_122110.jpg,1893-1897,Fidelio,1895-04-06,Volgens nota van Verbruggen is de voorstelling vervangen door Czar en Timmerman,FALSE,318863,Fidelio,DUI,Ludwig van Beethoven,1805,Fidelio,rettungsoper,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00236-20211201_122110.jpg,1893-1897,Fidelio,1895-04-07,,FALSE,877868,Fidelio,DUI,Ludwig van Beethoven,1805,Fidelio,rettungsoper,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00238-20211201_122129.jpg,1893-1897,Fidelio,1895-04-09,,FALSE,260328,Fidelio,DUI,Ludwig van Beethoven,1805,Fidelio,rettungsoper,1894-1895,Edward Keurvels & Henry Fontaine
