,Date,Original premiere,Directors,Normalised title,Composer,Multiple bill,Season,Title_Language,Occasion,Production_Language,Dutch,German,Title_Language_GLM,Dutch_Title,German_Title
36,1894-02-13,1821,Edward Keurvels & Henry Fontaine,De Vrijschutter,Carl Maria von Weber,False,1893-1894,NL,N,German,False,True,Dutch,True,False
37,1894-02-15,1843,Edward Keurvels & Henry Fontaine,De Vliegende Hollander,Richard Wagner,False,1893-1894,NL,N,German,False,True,Dutch,True,False
38,1894-02-23,?,Edward Keurvels & Henry Fontaine,Mellusina,Emiel Wambach,False,1893-1894,Unk,N,Dutch,True,False,other,False,False
39,1894-02-27,1843,Edward Keurvels & Henry Fontaine,De Vliegende Hollander,Richard Wagner,False,1893-1894,NL,N,German,False,True,Dutch,True,False
40,1894-03-01,?,Edward Keurvels & Henry Fontaine,Mellusina,Emiel Wambach,False,1893-1894,Unk,N,Dutch,True,False,other,False,False
41,1894-03-06,?,Edward Keurvels & Henry Fontaine,Mellusina,Emiel Wambach,False,1893-1894,Unk,N,Dutch,True,False,other,False,False
42,1894-03-08,?,Edward Keurvels & Henry Fontaine,Mellusina,Emiel Wambach,False,1893-1894,Unk,N,Dutch,True,False,other,False,False
43,1894-03-13,1843,Edward Keurvels & Henry Fontaine,De Vliegende Hollander,Richard Wagner,False,1893-1894,NL,G,German,False,True,Dutch,True,False
44,1894-03-15,?,Edward Keurvels & Henry Fontaine,Mellusina,Emiel Wambach,False,1893-1894,Unk,N,Dutch,True,False,other,False,False
45,1894-03-17,1843,Edward Keurvels & Henry Fontaine,De Vliegende Hollander,Richard Wagner,False,1893-1894,NL,N,German,False,True,Dutch,True,False
46,1894-03-20,1843,Edward Keurvels & Henry Fontaine,De Vliegende Hollander,Richard Wagner,False,1893-1894,NL,N,German,False,True,Dutch,True,False
47,1894-03-27,1821,Edward Keurvels & Henry Fontaine,De Vrijschutter,Carl Maria von Weber,False,1893-1894,NL,N,German,False,True,Dutch,True,False
48,1894-03-29,1893,Edward Keurvels & Henry Fontaine,Het Meilief,Peter Benoit,False,1893-1894,NL,N,Dutch,True,False,Dutch,True,False
49,1894-04-03,1893,Edward Keurvels & Henry Fontaine,Het Meilief,Peter Benoit,False,1893-1894,NL,N,Dutch,True,False,Dutch,True,False
50,1894-04-05,1893,Edward Keurvels & Henry Fontaine,Het Meilief,Peter Benoit,False,1893-1894,NL,N,Dutch,True,False,Dutch,True,False
51,1894-04-14,1843,Edward Keurvels & Henry Fontaine,De Vliegende Hollander,Richard Wagner,False,1893-1894,NL,N,German,False,True,Dutch,True,False
52,1894-04-19,1893,Edward Keurvels & Henry Fontaine,Het Meilief,Peter Benoit,False,1893-1894,NL,N,Dutch,True,False,Dutch,True,False
53,1894-04-21,1821,Edward Keurvels & Henry Fontaine,De Vrijschutter,Carl Maria von Weber,False,1893-1894,NL,N,German,False,True,Dutch,True,False
54,1894-04-24,1843,Edward Keurvels & Henry Fontaine,De Vliegende Hollander,Richard Wagner,False,1893-1894,NL,N,German,False,True,Dutch,True,False
55,1894-10-06,1823,Edward Keurvels & Henry Fontaine,Euryanthe,Carl Maria von Weber,False,1894-1895,Unk,N,German,False,True,other,False,False
56,1894-10-09,1823,Edward Keurvels & Henry Fontaine,Euryanthe,Carl Maria von Weber,False,1894-1895,Unk,N,German,False,True,other,False,False
57,1894-10-13,1837,Edward Keurvels & Henry Fontaine,Czaar en Timmerman,Albert Lortzing,False,1894-1895,NL,N,German,False,True,Dutch,True,False
58,1894-10-16,1837,Edward Keurvels & Henry Fontaine,Czaar en Timmerman,Albert Lortzing,False,1894-1895,NL,N,German,False,True,Dutch,True,False
59,1894-10-20,1823,Edward Keurvels & Henry Fontaine,Euryanthe,Carl Maria von Weber,False,1894-1895,Unk,N,German,False,True,other,False,False
60,1894-10-23,1837,Edward Keurvels & Henry Fontaine,Czaar en Timmerman,Albert Lortzing,False,1894-1895,NL,N,German,False,True,Dutch,True,False
61,1894-10-27,1837,Edward Keurvels & Henry Fontaine,Czaar en Timmerman,Albert Lortzing,False,1894-1895,NL,N,German,False,True,Dutch,True,False
62,1894-10-30,1821,Edward Keurvels & Henry Fontaine,De Vrijschutter,Carl Maria von Weber,False,1894-1895,NL,N,German,False,True,Dutch,True,False
63,1894-11-03,1837,Edward Keurvels & Henry Fontaine,Czaar en Timmerman,Albert Lortzing,False,1894-1895,NL,N,German,False,True,Dutch,True,False
