Date	Production
24/4/1944	Monika
25/4/1944	Manina
27/4/1944	Monika
30/4/1944	Lohengrin
30/4/1944	De Barbier van Sevilla
2/5/1944	Carmen
4/5/1944	Carmen
7/5/1944	De Lustige Weduwe
7/5/1944	Carmen
9/5/1944	Het Land van de Glimlach
11/5/1944	Een Meisje als Gij 
13/5/1944	Leontientje
14/5/1944	Een Meisje als Gij 
15/5/1944	8 ste Symfonisch Concert 
16/5/1944	Een Meisje als Gij 
20/5/1944	Het Land van de Glimlach
21/5/1944	Het Land van de Glimlach
28/5/1944	De Graaf van Luxemburg
29/5/1944	Bohème
1/6/1944	Het Land van de Glimlach
4/6/1944	Het Land van de Glimlach
4/6/1944	La Traviata
5/6/1944	9 de Symfonisch Concert 
8/6/1944	La Traviata
11/6/1944	La Traviata
11/6/1944	De Rozenkavalier
15/6/1944	De Graaf van Luxemburg
18/6/1944	De Vledermuis
18/6/1944	Carmen
22/6/1944	Carmen
25/6/1944	Eva, het fabrieksmeisje
25/6/1944	De Vledermuis
29/6/1944	De Vledermuis
2/7/1944	Tsarewitsch
2/7/1944	Bohème
4/7/1944	Eva, het fabrieksmeisje
6/7/1944	Eva, het fabrieksmeisje
8/7/1944	In het Witte Paard
9/7/1944	In het Witte Paard
9/7/1944	In het Witte Paard
10/7/1944	Spreekbeurt en zang met orkest van het VNV 
11/7/1944	In het Witte Paard
12/7/1944	In het Witte Paard
13/7/1944	In het Witte Paard
16/7/1944	Een Meisje als Gij 
16/7/1944	Eva, het fabrieksmeisje
18/7/1944	De Tsarewitsch
20/7/1944	Gemaskerd Bal
22/7/1944	Een Meisje als Gij 
23/7/1944	Gemaskerd Bal
23/7/1944	In het Witte Paard
25/7/1944	In het Witte Paard
27/7/1944	In het Witte Paard
30/7/1944	In het Witte Paard
30/7/1944	Gemaskerd Bal
12/8/1944	Eva, het fabrieksmeisje
13/8/1944	Spreekbeurt SS Karel Dhaese 
26/8/1944	De Neef uit het Oosten 
